STUDENT_CODE,GROUP,Evaluation Group
28791061,4000,S.T.M
28987454,4000,Tidyverse
27858669,4000,VITAE
27826457,4000,FORCATS
28584562,C L,VITAE
30029759,C L,Hardworking
28636287,C L,Team SAMY
28290968,Group Manshood,4000
27804623,dplyr,Team S.T.A.T.
28780655,Group Bryan,MDJLLSPHPL
28723201,dplyr,Not the Swallows!
28720091,dplyr,ETC1010Group
29657695,Electric R,FORCATS
25195743,Electric R,incRRRedible
28714172,Electric R,Team HD
29510651,Electric R,Team HD
28787781,ETC1010Group,The King Baboon
27823822,ETC1010Group,Electric R
27840700,ETC1010Group,The King Baboon
28740645,ETC1010Group,C L
30118611,FORCATS,C L
29233089,FORCATS,Lubridate
29228794,FORCATS,ETC1010Group
29775329,FORCATS,Tidyverse
28123956,GROUP_FIVE,C L
29202167,GROUP_FIVE,ETC1010Group
29616603,GROUP_FIVE,Team HD
29658055,GROUP_FIVE,Python>R
29412129,Hardworking,Team S.T.A.T.
29976774,Hardworking,incRRRedible
29070627,Hardworking,FORCATS
27135519,Hardworking,Python>R
27852563,incRRRedible,Team SAMY
28738330,incRRRedible,dplyr
27791025,incRRRedible,Lubridate
28837150,incRRRedible,4000
28710452,Lubridate,4000
25119664,Lubridate,Hardworking
29676088,Lubridate,GROUP_FIVE
28247353,Lubridate,GROUP_FIVE
27842967,MDJLLSPHPL,incRRRedible
29812089,MDJLLSPHPL,Python>R
29430933,MDJLLSPHPL,Electric R
26882167,MDJLLSPHPL,Group Manshood
25994360,Not the Swallows!,The Amatuer Group
25949985,Not the Swallows!,Tidyverse
26926423,Not the Swallows!,ETC1010Group
28767381,Not the Swallows!,S.T.M
28748336,Python>R,Team HD
28755960,Python>R,The Amatuer Group
27809250,Python>R,Lubridate
25945874,Python>R,incRRRedible
30656354,S.T.M,MDJLLSPHPL
28808398,S.T.M,GROUP_FIVE
29753546,S.T.M,Hardworking
28385934,Team HD,VITAE
30114152,Team HD,The King Baboon
29708761,Team HD,GROUP_FIVE
29621348,Team HD,Lubridate
29906369,Team S.T.A.T.,VITAE
26917831,Team S.T.A.T.,Team SAMY
28809513,Team S.T.A.T.,The Amatuer Group
28743792,Team S.T.A.T.,Electric R
28526570,Team SAMY,Not the Swallows!
25183737,Team SAMY,MDJLLSPHPL
26951215,Team SAMY,Team S.T.A.T.
25188437,Team SAMY,Team S.T.A.T.
28723104,The Amatuer Group,Team SAMY
29352517,The Amatuer Group,dplyr
26918544,The Amatuer Group,Not the Swallows!
29928672,The King Baboon,Tidyverse
29669278,The King Baboon,C L
29672031,The King Baboon,FORCATS
28620496,The King Baboon,dplyr
29720036,Tidyverse,The King Baboon
27801594,Tidyverse,S.T.M
28754131,Tidyverse,Not the Swallows!
28739019,Tidyverse,4000
29695910,VITAE,Electric R
28102282,VITAE,Hardworking
29233313,VITAE,MDJLLSPHPL
26456982,VITAE,Python>R
