stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00001000,-16.2919,127.1956,320,NA,KARUNJIE,NA,NA,NA
ASN00001001,-15.1806,127.8456,2,NA,OOMBULGURRI,NA,NA,NA
ASN00001003,-14.1331,126.7158,5,NA,PAGO MISSION,NA,NA,NA
ASN00001004,-15.4167,124.7167,47,NA,KUNMUNYA,NA,NA,NA
ASN00001005,-15.4644,128.1,20,NA,WYNDHAM PORT,NA,NA,NA
ASN00001006,-15.51,128.1503,3.8,NA,WYNDHAM AERO,NA,NA,9521
ASN00001007,-13.7542,126.1485,6,NA,TROUGHTON ISLAND,NA,NA,9410
ASN00001008,-16.3017,126.1825,640,NA,MOUNT ELIZABETH OLD SITE,NA,NA,NA
ASN00001009,-15.4875,124.5222,12,NA,KURI BAY,NA,NA,9420
ASN00001010,-14.7883,126.4964,210,NA,THEDA,NA,NA,NA
ASN00001011,-16.0497,124.95,-999.9,NA,PANTA DOWNS,NA,NA,NA
ASN00001012,-14.7925,125.8258,315,NA,MITCHELL PLATEAU,NA,NA,NA
ASN00001013,-15.4872,128.1247,11,NA,WYNDHAM,NA,NA,9421
ASN00001014,-15.9078,128.1289,130,NA,EMMA GORGE,NA,NA,NA
ASN00001016,-14.4861,126.7664,59,NA,CARSON RIVER STATION,NA,NA,NA
ASN00001017,-15.5,127.8333,-999.9,NA,NULLA NULLA,NA,NA,NA
ASN00001018,-16.4181,126.1025,546,NA,MOUNT ELIZABETH,NA,NA,9421
ASN00001019,-14.2964,126.6453,23,NA,KALUMBURU,GS,N,9410
ASN00001020,-14.09,126.3867,51,NA,TRUSCOTT,NA,NA,9510
ASN00001021,-14.2961,126.6431,23,NA,KALUMBURU MISSION,NA,NA,NA
ASN00001022,-15.4997,128.1997,-999.9,NA,WYNDHAM SIX MILE HOTEL,NA,NA,NA
ASN00001023,-16.0086,127.9806,90,NA,EL QUESTRO,NA,NA,NA
ASN00001024,-15.9572,127.0628,300,NA,ELLENBRAE,NA,NA,NA
ASN00001025,-15.3797,126.3114,385,NA,DOONGAN,NA,NA,9421
ASN00001026,-15.7025,126.3786,370,NA,DRYSDALE RIVER STATION,NA,NA,NA
ASN00001027,-15.6394,128.0803,14,NA,DIGGERS REST,NA,NA,NA
ASN00001028,-15.7231,127.8297,10,NA,HOME VALLEY,NA,NA,NA
ASN00001030,-14.5786,125.9133,3,NA,KIMBERLEY COASTAL CAMP,NA,NA,NA
ASN00001031,-13.96,127.1964,60,NA,FARAWAY BAY,NA,NA,NA
ASN00001032,-14.1472,126.6483,6,NA,MCGOWAN ISLAND,NA,NA,NA
ASN00001035,-15.5969,128.2781,20,NA,PARRY CREEK FARM,NA,NA,NA
ASN00002000,-17.7569,127.9386,363,NA,ALICE DOWNS,NA,NA,NA
ASN00002001,-16.5039,128.9172,120,NA,ARGYLE DOWNS,NA,NA,NA
ASN00002002,-18.8833,126.2333,-999.9,NA,BOHEMIA DOWNS,NA,NA,NA
ASN00002003,-16.87,128.1836,194,NA,BOW RIVER,NA,NA,NA
ASN00002004,-16.5833,128.3667,-999.9,NA,GLEN HILL,NA,NA,NA
ASN00002005,-15.4864,128.5344,20,NA,CARLTON HILL,NA,NA,NA
ASN00002006,-15.5,128.25,-999.9,NA,ASCOT,NA,NA,NA
ASN00002007,-16.3167,128.25,-999.9,NA,DUNHAM RIVER STATION,NA,NA,NA
ASN00002008,-18.3167,128,-999.9,NA,FLORA VALLEY OLD,NA,NA,NA
ASN00002009,-16.4203,126.4411,488,NA,GIBB RIVER,NA,NA,NA
ASN00002010,-18.7506,128.5842,354,NA,GORDON DOWNS,NA,NA,NA
ASN00002011,-18.2519,127.7817,360,NA,OLD HALLS CREEK,NA,NA,NA
ASN00002012,-18.2292,127.6636,422,NA,HALLS CREEK AIRPORT,GS,N,9421
ASN00002013,-15.69,128.6833,40,NA,IVANHOE STATION,NA,NA,NA
ASN00002014,-15.6547,128.7092,31,NA,KIMBERLEY RES.STATION,NA,NA,9521
ASN00002015,-18.4086,127.3547,400,NA,LAMBOO,NA,NA,NA
ASN00002016,-16.6742,128.5533,120,NA,LISSADELL,NA,NA,NA
ASN00002017,-18.7106,126.7111,248,NA,LOUISA DOWNS,NA,NA,NA
ASN00002018,-17.1792,128.1217,254,NA,MABEL DOWNS,NA,NA,NA
ASN00002019,-18.6253,126.8617,280,NA,MARGARET RIVER STATION,NA,NA,NA
ASN00002020,-18.1894,127.5011,430,NA,MOOLA BULLA,NA,NA,NA
ASN00002021,-18.3869,126.9892,300,NA,MOUNT AMHURST,NA,NA,NA
ASN00002022,-18.016,126.3033,180,NA,MOUNT WINIFRED,NA,NA,NA
ASN00002023,-18.0308,128.8942,380,NA,NICHOLSON,NA,NA,NA
ASN00002024,-17.4,128.85,-999.9,NA,ORD RIVER,NA,NA,NA
ASN00002025,-18.3667,127.5667,-999.9,NA,ROCKHOLE DOWNS,NA,NA,NA
