id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33
1,B,1,False,Pop,35,Super-speed,C,D,Netflix,2,A,B,10,C,B,F,B,Party,A,False,7,2,21,172,Table Tennis,B,A,B,B,B,A,Spatula,True
2,D,1/2,False,Anything,10,Flying,C,C,NA,6,B,A,10,A,A,F,A,listen to music,B,True,8,0,21,176,tennis,B,A,A,A,A,A,knife,True
3,C,6,False,RNB,35,speed,A,D,n/a,2,A,A,0,B,B,F,A,sport,B,True,8,5,20,172,basketball,A,B,B,A,B,B,wok,True
4,C,12,True,Rock,40,Time travel,A,D,Netflix,1,A,B,5,C,A,F,A,Origami,A,True,6,3,20,158,Hockey,A,B,B,B,A,A,knife,True
5,C,4,False,Alternative Rock,50,Flight,C,E,Netflix,3,A,B,10,B,A,C,B,Basketball,A,True,6,2,20,182,Basketball,B,A,A,A,B,B,Soup spoon,False
6,E,5,False,Pop,50,Sleeping forever,A,E,"stream.tv
",2,B,B,40,D,A,F,A,Sleep,A,True,7,2,23,183,Basketball,C,A,B,B,B,B,Fork,True
7,C,"4
",False,popular,112,"forecasting
",B,E,"no idea
",1,A,A,40,B,A,B,B,"watch youtube
",A,True,7,1,22,174,swimming,B,B,B,B,B,B,pan,False
8,E,1,False,R&B,4,Read minds,C,B,Netflix,2,A,B,20,D,A,F,A,TV,B,True,8,2,23,182,Basketball,B,A,B,A,A,A,Spatula,True
9,C,1,False,Pop,30,Telekinesis,A,E,Netflix,4,A,B,30,D,A,B,B,Gym,B,True,8,3,20,169,Swimming,A,B,B,B,B,A,Ladle,True
10,C,"three times
",True,country music,55,teleportation,C,E,youtube,1,B,A,15,B,A,F,B,watch vedio,A,True,"6
",3,21,180,tennis,B,A,A,B,B,B,knife,True
11,E,4,False,alt rock,14,teleporting,B,E,"youtube, netflix",1.5,B,A,15,A,B,F,A,"internet, stretch, water",A,True,9,2,28,200,skiing,B,A,B,B,A,A,tongs,True
12,B,1,False,classical,35,go back to a past time,C,E,reality show,1.3,A,A,16,C,A,F,B,cook,A,True,8,1,20,167,swimming,A,B,C,B,B,A,pot,True
13,D,3,False,Pop,20,Teleportation,C,C,Kodi,2,A,B,2,G,A,A,A,Basketball,A,True,8,5,21,170,Basketball,B,B,B,A,B,B,Whisk,True
14,B,1.5,False,hip-hop,27,predict the future,A,E,phone,1,B,A,20,B,A,F,B,sleep,A,False,8,3,20,157,badminton,A,B,B,B,B,B,knife,True
15,C,1.5,True,rnb,49,flying,C,D,watchseries,2,B,B,5,A,A,F,A,youtube,A,True,7,3,20,178,mma,B,A,B,B,B,A,spork,True
16,B,2.5,False,Classical,20,Nothing,B,E,None,2.5,B,B,5,B,B,F,B,Relax,A,False,8,1,20,178,Tennis,B,B,B,A,A,A,None,True
17,C,5,False,Pop,40,Flight,B,D,Crunchyroll,2.5,B,B,0,A,A,F,A,Card games,A,True,9,6,20,190,Basketball,B,B,C,B,A,A,Grater,False
18,C,6,False,Indie rock,17,Flying,B,E,Stan,1,A,B,15,B,B,B,A,sleep,A,True,8,4,22,183,basketball,B,A,C,A,A,A,spatula,False
19,A,1/2,False,popular,10,have another super power,A,D,No television,1,B,A,20,F,A,F,B,gaming,A,True,7,7,18,179,sleep,B,A,B,B,B,B,someone can eat,True
20,C,5,True,Pop,35,The power to make anything full,C,D,Netlfix,1,B,B,7,C,A,A,A,Sleep,B,True,8,7,20,172,Fencing,A,A,E,A,A,A,Fork,True
21,B,120,False,pop,70,Never forget,C,E,I do not watch television.,1,B,A,20,B,A,F,B,To listen music,B,True,7,5,24,178,Electronic games and running,A,B,C,B,B,A,refrigerator,True
22,E,5hrs,False,music,40hrs,fly,A,C,tivo,2,B,B,5,E,B,B,A,sport,A,True,7,3,23,163,swimming,A,B,B,A,A,A,fork,True
