STUDENT_CODE,GROUP,Evaluation Group
29909961,1_PUORG_0101_CTE,Agridat
25167669,1_PUORG_0101_CTE,nine-nine
29025206,1_PUORG_0101_CTE,Infinite
28689607,1_PUORG_0101_CTE,Paperclip
28014561,Agridat,Bomrang
28817389,Agridat,R44
28956885,Agridat,Thor
28798686,Agridat,R Rated
28785002,Blueberries,R studio artists
29110459,Blueberries,Agridat
27843467,Blueberries,Titanic{float=False}
28435281,Blueberries,Infinite
27351963,Bomrang,The Standard Deviations
29176026,Bomrang,Infinite
29091985,Bomrang,nine-nine
25993534,Bomrang,R44
28802020,Data Confusion,nine-nine
25186949,Data Confusion,Team Rocket
27929574,Data Confusion,Bomrang
28796527,Data Confusion,Eagles
27842339,Eagles,R44
29663776,Eagles,Paperclip
28748662,Eagles,1_PUORG_0101_CTE
27821927,GeoZoo,nine-nine
27724654,GeoZoo,Blueberries
28824229,GeoZoo,The Standard Deviations
28762479,Infinite,Agridat
28676076,Infinite,Bomrang
26025671,Infinite,Eagles
25982990,nine-nine,Blueberries
28396294,nine-nine,Titanic{float=False}
29695848,nine-nine,GeoZoo
29679370,nine-nine,Eagles
29619114,Paperclip,Blueberries
28786777,Paperclip,R Rated
28445732,Paperclip,The Standard Deviations
25976281,Paperclip,R studio artists
27888983,R Rated,RnR
28748441,R Rated,Data Confusion
28741005,R Rated,Bomrang
26921162,R studio artists,Thor
28768361,R studio artists,Agridat
28458230,R studio artists,Team Rocket
27243923,R44,Paperclip
27494152,R44,Team Rocket
28943112,R44,Team Rocket
29233879,R44,1_PUORG_0101_CTE
27811891,RnR,R Rated
28762347,RnR,GeoZoo
25150901,RnR,Thor
29706149,Team Rocket,Data Confusion
27839397,Team Rocket,RnR
26287641,Team Rocket,R44
28414136,Team Rocket,Thor
29098947,The Standard Deviations,Paperclip
28831772,The Standard Deviations,Titanic{float=False}
28759230,The Standard Deviations,Data Confusion
29584760,Thor,GeoZoo
29726794,Thor,Titanic{float=False}
29490979,Thor,1_PUORG_0101_CTE
29668301,Thor,Blueberries
29681006,Titanic{float=False},R studio artists
26929740,Titanic{float=False},RnR
28832655,Titanic{float=False},Data Confusion
29709547,Titanic{float=False},1_PUORG_0101_CTE
