station_number,max_temperature,quality,date
86282,27.4,N,2019-01-01
86282,23.5,N,2019-01-02
86282,30.5,N,2019-01-03
86282,43.4,N,2019-01-04
86282,21.2,N,2019-01-05
86282,22.3,N,2019-01-06
86282,24.3,N,2019-01-07
86282,26.7,N,2019-01-08
86282,21.6,N,2019-01-09
86282,22.7,N,2019-01-10
86282,31.5,N,2019-01-11
86282,27.9,N,2019-01-12
86282,29.5,N,2019-01-13
86282,38.5,N,2019-01-14
86282,38.6,N,2019-01-15
86282,31.3,N,2019-01-16
86282,37,N,2019-01-17
86282,30.2,N,2019-01-18
86282,24,N,2019-01-19
86282,24.3,N,2019-01-20
86282,29.7,N,2019-01-21
86282,31.1,N,2019-01-22
86282,25.7,N,2019-01-23
86282,41.9,N,2019-01-24
86282,46,N,2019-01-25
86282,28.1,N,2019-01-26
86282,29,N,2019-01-27
86282,35.6,N,2019-01-28
86282,37.8,N,2019-01-29
86282,40,N,2019-01-30
86282,22.5,N,2019-01-31
86282,23.9,N,2019-02-01
86282,37.3,N,2019-02-02
86282,41.1,N,2019-02-03
86282,22.7,N,2019-02-04
86282,26.2,N,2019-02-05
86282,34.9,N,2019-02-06
86282,29.9,N,2019-02-07
86282,24.6,N,2019-02-08
86282,20.8,N,2019-02-09
86282,25.2,N,2019-02-10
86282,29.7,N,2019-02-11
86282,21.9,N,2019-02-12
86282,21.3,N,2019-02-13
86282,24.6,N,2019-02-14
86282,24.9,N,2019-02-15
86282,27.2,N,2019-02-16
86282,31.4,N,2019-02-17
86282,26.3,N,2019-02-18
86282,22.4,N,2019-02-19
86282,25.1,N,2019-02-20
86282,21.8,N,2019-02-21
86282,23.3,N,2019-02-22
86282,25.1,N,2019-02-23
86282,33.8,N,2019-02-24
86282,35.2,N,2019-02-25
86282,25.1,N,2019-02-26
86282,30.7,N,2019-02-27
86282,38.1,N,2019-02-28
86282,38.2,N,2019-03-01
86282,36.9,N,2019-03-02
86282,38.4,N,2019-03-03
86282,29.6,N,2019-03-04
86282,26.8,N,2019-03-05
86282,18,N,2019-03-06
86282,24.5,N,2019-03-07
86282,27.6,N,2019-03-08
86282,27.5,N,2019-03-09
86282,27.2,N,2019-03-10
86282,24.4,N,2019-03-11
86282,19.8,N,2019-03-12
86282,19,N,2019-03-13
86282,22.6,N,2019-03-14
86282,22.7,N,2019-03-15
86282,28.8,N,2019-03-16
86282,28.4,N,2019-03-17
86282,27.9,N,2019-03-18
86282,24.3,N,2019-03-19
86282,25.1,N,2019-03-20
86282,26,N,2019-03-21
86282,32.4,N,2019-03-22
86282,31.5,N,2019-03-23
86282,30.6,N,2019-03-24
86282,19.6,N,2019-03-25
86282,21.6,N,2019-03-26
86282,23.1,N,2019-03-27
86282,28.6,N,2019-03-28
86282,29.7,N,2019-03-29
86282,16.9,N,2019-03-30
86282,20,N,2019-03-31
86282,17.7,N,2019-04-01
86282,26.2,N,2019-04-02
86282,26.3,N,2019-04-03
86282,22.7,N,2019-04-04
86282,29.2,N,2019-04-05
86282,22.5,N,2019-04-06
86282,26.9,N,2019-04-07
86282,23.5,N,2019-04-08
86282,17.1,N,2019-04-09
86282,16.6,N,2019-04-10
86282,18.4,N,2019-04-11
86282,25.4,N,2019-04-12
86282,20.5,N,2019-04-13
86282,24.3,N,2019-04-14
86282,27.4,N,2019-04-15
86282,30.6,N,2019-04-16
86282,31.1,N,2019-04-17
86282,18.6,N,2019-04-18
86282,22.7,N,2019-04-19
86282,30.9,N,2019-04-20
86282,27.6,N,2019-04-21
86282,16.9,N,2019-04-22
86282,19.1,N,2019-04-23
86282,23.8,N,2019-04-24
86282,21.8,N,2019-04-25
86282,16.1,N,2019-04-26
86282,15.9,N,2019-04-27
86282,16.8,N,2019-04-28
86282,17.7,N,2019-04-29
86282,23.2,N,2019-04-30
86282,22,N,2019-05-01
86282,20.3,N,2019-05-02
86282,20.7,N,2019-05-03
86282,15.7,N,2019-05-04
86282,17.3,N,2019-05-05
86282,17,N,2019-05-06
86282,19.2,N,2019-05-07
86282,16.8,N,2019-05-08
86282,16.1,N,2019-05-09
86282,13.5,N,2019-05-10
86282,15.3,N,2019-05-11
86282,17.2,N,2019-05-12
86282,18.2,N,2019-05-13
86282,19.9,N,2019-05-14
86282,16.1,N,2019-05-15
86282,17,N,2019-05-16
