name,SCHOOLID,ST03Q01,ST03Q02,ST04Q01,ST08Q01,ST09Q01,ST115Q01,ST11Q01,ST11Q02,ST11Q03,ST11Q04,ST11Q05,ST11Q06,ST13Q01,ST17Q01,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST28Q01,ST85Q01,ST85Q02,IC05Q01,IC06Q01,IC07Q01,IC08Q03,IC08Q04,IC08Q05,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV1MACC,PV2MACC,PV3MACC,PV4MACC,PV5MACC,PV1MACQ,PV2MACQ,PV3MACQ,PV4MACQ,PV5MACQ,PV1MACS,PV2MACS,PV3MACS,PV4MACS,PV5MACS,PV1MACU,PV2MACU,PV3MACU,PV4MACU,PV5MACU,PV1MAPE,PV2MAPE,PV3MAPE,PV4MAPE,PV5MAPE,PV1MAPF,PV2MAPF,PV3MAPF,PV4MAPF,PV5MAPF,PV1MAPI,PV2MAPI,PV3MAPI,PV4MAPI,PV5MAPI,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE
Australia,0000557,01,1997,Female,None,One or two times,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 2>,<ISCED level 2>,Three or more,Three or more,Three or more,Three or more,Two,201-500 books,Agree,Disagree,04,05,05,Once or twice a week,Once or twice a week,Every day,369.4579,360.8895,336.7425,415.4152,354.658,325.0584,420.8677,374.1315,346.0897,332.8478,289.2273,378.8051,356.2159,311.0375,293.122,321.9427,409.1837,366.3421,344.5319,336.7425,311.8165,417.752,381.9209,342.195,331.2899,353.1002,374.1315,366.3421,343.7529,358.5527,321.1637,324.2795,292.343,303.2482,293.122,397.4996,409.9626,392.047,367.9,367.9,466.4228,375.0772,417.9699,457.6854,321.0641,412.5699,337.9709,363.1481,420.0298,319.3211
Australia,0000546,06,1996,Male,One or two times,None,1,Yes,Yes,No,Yes,No,No,NA,<ISCED level 2>,Three or more,Three or more,Three or more,Two,Two,26-100 books,NA,NA,03,06,07,Every day,Almost every day,Almost every day,515.275,514.496,535.5273,500.4752,541.7588,491.1279,512.9382,488.0122,511.3803,463.0862,516.8328,535.5273,510.6013,516.0539,488.0122,501.2541,546.4325,494.2437,526.1801,491.1279,574.4742,611.0843,565.127,576.0321,553.4429,523.0643,542.5378,498.1383,506.7067,520.7275,526.959,500.4752,448.2863,492.6858,530.0748,538.6431,557.3376,481.0017,532.4116,533.9695,525.4964,547.9508,529.5061,549.5547,584.0383,564.8452,562.9802,597.4823,561.1153,572.3051
Australia,0000595,05,1996,Female,None,None,1,Yes,Yes,No,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Three or more,Three or more,26-100 books,NA,NA,05,05,05,Once or twice a week,Every day,Every day,519.7928,520.5717,510.4456,535.3716,525.2454,502.6562,460.5936,480.067,499.5404,506.5509,499.5404,457.4778,494.0879,483.9617,534.5926,494.8668,461.3725,469.1619,487.0774,525.2454,568.0869,533.8137,561.0765,566.5291,600.8023,483.9617,520.5717,485.5196,487.0774,500.3194,507.3298,534.5926,484.7406,494.0879,487.8564,507.3298,527.5822,511.2245,535.3716,526.8032,598.2783,591.9238,588.7466,575.2433,595.8954,538.4558,573.8903,562.7005,560.8355,593.47260000000006
Australia,0000286,07,1996,Female,None,One or two times,1,Yes,Yes,No,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Three or more,Two,26-100 books,Strongly agree,Strongly agree,04,04,04,Every day,Never or hardly ever,Every day,559.207,577.1226,569.3332,564.6596,538.9547,519.4812,594.2592,562.3228,592.7014,587.2488,485.9869,553.7545,518.7023,551.4177,553.7545,478.1975,535.8389,523.3759,575.5647,530.3864,539.7336,595.0382,584.133,616.8484,609.838,516.3655,569.3332,525.7127,581.0173,552.9755,498.4499,521.0391,500.0078,566.2175,531.1653,593.4803,640.9955,581.7962,656.5742,627.7535,662.538,622.8225,624.4111,595.816,606.9363,645.0392,624.5244,631.9843,601.2122,621.727
Australia,0000083,11,1996,Female,One or two times,None,1,Yes,No,No,Yes,No,No,<ISCED level 3A>,<ISCED level 2>,Three or more,Three or more,Two,Three or more,One,More than 500 books,Strongly agree,Strongly agree,04,02,03,Never or hardly ever,Never or hardly ever,Every day,505.694,479.9891,539.9673,508.0308,568.009,525.1675,531.399,540.7462,525.1675,538.4094,506.473,511.1466,522.8307,525.9464,516.5992,489.3363,494.7889,514.2623,493.231,515.0413,522.8307,516.5992,532.1779,534.5147,542.3041,518.157,494.7889,485.4417,500.2415,509.5887,541.5252,545.4198,511.1466,545.4198,549.3145,599.9455,539.1883,545.4198,531.399,582.0299,539.4994,549.8254,561.7401,556.9742,638.7881,495.8411,512.6259,568.5752,551.7904,593.7523
Australia,0000397,09,1996,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,97,97,NA,NA,NA,377.7146,328.6415,300.5998,331.7573,239.8427,472.745,334.0941,330.9783,334.0941,323.9679,467.2924,336.4309,338.7677,349.6728,301.3787,483.6501,353.5675,334.873,376.1567,358.2412,468.0714,344.2203,371.4831,358.2412,349.6728,311.5049,351.2307,334.0941,389.3987,344.9992,251.5267,304.4945,265.5476,346.5571,292.0315,336.4309,362.9148,337.2098,413.5457,337.2098,353.5514,302.7155,365.466,371.8205,302.7155,376.4827,316.8034,352.238,352.238,314.9385
Australia,0000770,01,1997,Male,One or two times,Three or four times,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 3A>,NA,Three or more,Three or more,One,Three or more,One,201-500 books,Strongly agree,Strongly agree,04,04,05,Once or twice a week,Never or hardly ever,Every day,364.6284,369.3021,378.6493,301.5345,402.0174,347.4918,326.4605,335.8078,401.2385,295.303,356.0601,331.9131,332.692,380.2072,294.5241,377.8704,355.2812,312.4396,392.6702,311.6607,404.3543,387.2176,407.47,426.9434,351.3865,346.7129,356.8391,340.4814,386.4387,415.2594,344.3761,349.8286,307.766,361.5127,415.2594,376.3125,408.2489,399.6806,421.4909,447.1958,328.2179,344.2568,358.6918,335.4354,373.9287,369.9552,383.0101,379.2801,360.6304,434.2969
Australia,0000141,03,1997,Female,One or two times,One or two times,1,No,No,No,No,No,Yes,NA,NA,Three or more,Three or more,Three or more,One,One,26-100 books,Agree,Agree,02,04,99,Never or hardly ever,Almost every day,Once or twice a week,372.4957,384.9587,346.7908,348.3487,373.2747,393.527,391.1902,402.0953,339.7803,353.0223,335.8857,360.0327,377.9483,288.3705,328.8752,396.6428,419.232,416.8952,353.0223,356.917,369.38,385.7377,391.9692,304.7282,360.0327,335.1067,372.4957,305.5071,309.4018,346.0118,385.7377,393.527,320.3069,344.454,360.8117,395.0849,394.306,381.843,357.6959,396.6428,336.9503,352.8365,232.8957,378.2544,344.0991,376.2962,394.9459,315.6844,383.7561,383.7561
Australia,0000668,09,1996,Male,None,One or two times,1,Yes,Yes,Yes,Yes,Yes,NA,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,One,Three or more,Three or more,11-25 books,NA,NA,03,05,05,Every day,Never or hardly ever,Every day,494.2437,491.1279,475.5492,485.6753,433.4865,431.1497,431.1497,432.7076,385.1924,403.8869,519.1697,530.8537,537.8642,486.4543,477.107,476.3281,487.2332,481.7807,417.9078,431.9286,488.0122,498.1383,491.1279,447.5074,484.1175,542.5378,535.5273,494.2437,535.5273,529.2958,469.3177,444.3916,420.2446,444.3916,451.4021,542.5378,533.9695,477.107,533.9695,535.5273,495.8244,475.7758,503.0419,480.5874,462.1427,531.2756,484.6512,513.5584,522.8833,494.9086
Australia,0000052,11,1996,Female,Five or more times,One or two times,1,Yes,Yes,Yes,No,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,One,Two,One,One,101-200 books,NA,NA,05,05,05,Almost every day,Every day,Almost every day,506.3951,525.0896,570.268,515.7423,525.0896,572.6048,577.2784,575.7205,584.2888,551.5735,539.8894,548.4577,570.268,556.2471,544.563,504.0583,510.2898,529.7632,540.6683,487.7006,557.026,574.9416,576.4995,566.3733,528.9843,551.5735,551.5735,563.2575,585.0678,543.0051,513.4055,514.1845,513.4055,553.1313,511.0687,555.4681,539.1105,546.1209,573.3837,531.3211,589.7792,559.5954,617.5801,554.8296,563.567,527.5457,525.6807,590.9549,532.2081,548.9929
Australia,0000153,11,1996,Male,None,None,1,Yes,Yes,No,Yes,No,No,<ISCED level 3A>,<ISCED level 2>,Three or more,Three or more,Three or more,Three or more,One,26-100 books,Agree,Agree,03,03,02,Never or hardly ever,Never or hardly ever,Never or hardly ever,505.694,493.231,504.9151,499.4625,508.8098,566.4512,538.4094,536.8515,533.7358,551.6513,504.9151,474.5365,483.1048,490.1153,508.8098,502.5783,511.1466,490.8942,532.9568,553.2092,509.5887,474.5365,487.7785,490.8942,497.1257,522.8307,521.2728,517.3781,489.3363,551.6513,474.5365,481.547,501.7993,451.9473,488.5574,562.5565,512.7045,496.3468,500.2415,540.7462,486.7624,490.7721,476.3371,469.1196,460.2982,496.7736,486.5162,502.3685,512.6259,501.436
Australia,0000592,12,1996,Male,None,None,1,Yes,Yes,No,Yes,NA,No,<ISCED level 1>,<ISCED level 2>,Three or more,Two,Two,Two,Two,11-25 books,NA,NA,04,03,03,Almost every day,Never or hardly ever,Almost every day,482.248,447.1958,476.0165,500.1636,494.711,498.6057,527.4264,484.5848,472.9008,507.953,456.5431,506.3951,440.1854,409.8068,483.8059,451.8695,482.248,410.5858,373.9757,471.3429,427.7224,464.3325,398.1228,400.4596,451.0905,456.5431,484.5848,454.2063,421.4909,430.0592,434.7328,433.1749,437.8486,395.7859,413.7015,469.0061,474.4586,447.1958,435.5118,438.6275,507.0516,474.1719,527.1002,528.7041,546.3469,523.8157,512.6259,525.6807,530.3432,533.1406
Australia,0000573,02,1997,Female,None,Three or four times,4,Yes,Yes,Yes,Yes,NA,NA,<ISCED level 3A>,<ISCED level 3A>,Three or more,Two,Three or more,Three or more,Three or more,26-100 books,NA,NA,05,03,03,Once or twice a week,Every day,Every day,547.8346,543.9399,524.4664,521.3507,536.9294,551.7292,526.8032,522.1296,522.9086,525.2454,589.8972,534.5926,547.0556,544.7188,524.4664,588.3393,540.0452,527.5822,530.6979,540.0452,521.3507,487.0774,522.1296,504.993,480.067,545.4977,555.6239,508.1087,539.2662,546.2767,550.1714,557.1818,515.8981,504.993,569.6448,542.382,515.8981,521.3507,522.9086,557.9607,493.6677,481.753,476.9872,407.8822,481.753,521.0183,509.8284,497.7061,464.1365,507.9634
Australia,0000146,06,1996,Male,None,None,1,Yes,No,Yes,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Two,Three or more,One,26-100 books,NA,NA,03,04,05,Once or twice a month,Never or hardly ever,Almost every day,568.7101,547.6788,587.4046,537.5526,539.1105,576.4995,602.2044,572.6048,603.7623,591.2993,533.6579,546.8998,522.7528,548.4577,528.9843,547.6788,573.3837,540.6683,547.6788,564.8154,600.6465,624.7936,603.7623,615.4463,598.3097,577.2784,575.7205,559.3628,569.489,523.5317,571.8258,571.8258,551.5735,561.6996,519.637,612.3306,594.415,612.3306,601.4255,583.5099,582.4345,527.1002,559.98,538.3275,538.3275,584.4275,562.0477,594.6848,532.2081,558.3178
Australia,0000147,05,1996,Female,None,None,1,Yes,Yes,Yes,NA,NA,NA,<ISCED level 3A>,<ISCED level 2>,Three or more,Three or more,Three or more,Three or more,Two,101-200 books,NA,NA,02,07,07,Once or twice a week,Once or twice a week,Every day,363.2264,309.4797,300.9114,319.6059,349.9844,264.3013,314.9322,302.4692,226.1334,290.0062,298.5745,357.7738,336.7425,270.5328,328.1742,340.6372,406.0679,385.0366,305.585,363.2264,251.0594,296.2377,286.1115,224.5755,244.0489,308.7007,339.8582,281.4379,334.4057,354.658,346.8687,355.437,290.0062,335.1846,390.4892,335.9635,330.511,269.7539,369.4579,359.3317,376.9041,353.0748,297.4731,349.8975,350.6919,365.2928,349.4405,344.7781,355.9679,349.4405
Australia,0000728,11,1996,Female,None,None,1,Yes,Yes,Yes,No,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Two,Two,Two,101-200 books,NA,NA,03,03,05,Once or twice a week,Almost every day,Almost every day,494.01,480.768,509.5887,501.7993,481.547,522.0517,502.5783,490.8942,521.2728,525.1675,577.3563,541.5252,541.5252,546.9777,537.6305,458.9578,435.5897,411.4426,444.9369,441.0422,492.4521,458.9578,433.2528,479.2102,466.7472,509.5887,485.4417,503.3572,502.5783,539.9673,509.5887,496.3468,491.6732,488.5574,566.4512,486.2206,474.5365,469.8629,468.305,509.5887,505.344,496.6066,488.6635,472.7773,494.2237,486.5162,487.4487,473.4614,493.9761,483.7188
Australia,0000608,04,1997,Female,One or two times,One or two times,3,No,No,No,No,No,Yes,<ISCED level 3A>,<ISCED level 3A>,Three or more,One,Three or more,Two,Two,0-10 books,NA,NA,05,07,06,Every day,Every day,Every day,502.6562,500.3194,455.9199,451.2463,447.3516,437.2254,469.1619,434.1097,466.0461,438.0044,515.8981,532.2558,495.6457,519.7928,494.8668,462.9304,445.7937,437.2254,491.7511,427.8782,491.7511,499.5404,462.9304,522.9086,476.9512,486.2985,443.4569,510.4456,521.3507,438.0044,452.8042,433.3307,522.9086,487.0774,429.436,518.2349,508.8877,557.9607,564.9712,442.678,545.2978,523.8515,538.9434,532.5889,488.9018,543.398,514.4909,507.031,473.4614,468.799
