Program.ID,Broad.Field,Field,Institution.Name,Program.Name,Program.Website,Control,Regional.Code.1.NE.2.MW.3.SA.4.SC.5.W,Program.Size.Quartile,R.Rankings.5th.Percentile,R.Rankings.95th.Percentile,S.Rankings.5th.Percentile,S.Rankings.95th.Percentile,Research.Activity.5th.Percentile,Research.Activity.95th.Percentile,Student.Support.Outcomes.5th.Percentile,Student.Support.Outcomes.95th.Percentile,Diversity.5th.Percentile,Diversity.95th.Percentile,Average.Publications,Average.Citations,Faculty.with.Grants.Pct,Awards.per.Faculty,FirstYrs.Full.Supp.Pct,Avg.Completion.Pct.6Yrs,Median.Time.to.Degree,Academic.Plans.Pct,Collects.Data.,Non.Asian.Min.Fac.Pct,Female.Faculty.Pct,Non.Asian.Min.Stud.Pct,Female.Stud.Pct,Int.Stud.Pct,Ave.Num.Ph.Ds,Pct.Interdisc.Fac,Ave.GRE.Scores,Pct.FirstYrs.Ext.Fellows,Student.Work.Space,Health.Insurance,Num.Student.Activities,Total.Faculty,Num.Allocated.Faculty,Asst.Prof.Pct,Tenured.Faculty.Pct,Num.Core.and.New.Fac,Num.Students,Ave.First.Yr.Enrol,Pct.Stud.RAs,Pct.Stud.TAs,Orientation,Internat.Orientation,Language.Screening,Instruction.in.Writing,Instruction.in.Statistics,Prizes.Awards,Training.Proposal,Graduate.Research.Conf,Training.Academic.Integrity,Active.GSA,Staff.Assigned.GSA,Financial.Support.GSA,Acad.Grievance.Proc,Dispute.Resolution.Proc,Grad.Directors.Coord.Meet,Annual.Review.Doctoral.Students,Training.Teaching,Travel.Support,Student.Activities
20043432,Physical and Mathematical Sciences,Statistics and Probability,BAYLOR UNIVERSITY,Statistical Science,http://www.baylor.edu/statistics,Private,4,2,36,59,36,54,26,53,1,24,49,59,0.75,0.30,50.0,0.77,100.0,61.7,4.00,50.0,1,0,0,17.6,52.2,21.7,3.6,14.3,706,0,1,1,14,7,6.5,0,86.0,6,23,5.80,34.8,47.8,3,1,2,4,,4,3,3,3,1,1,1,2,,3,2,3,3,14
20059073,Physical and Mathematical Sciences,Statistics and Probability,BOSTON UNIVERSITY,Biostatistics,http://sph.bu.edu/index.php/menu-id-388.html?task=view,Private,1,4,47,61,11,28,4,16,31,57,6,29,0.88,3.57,100.0,0,100.0,20.0,5.00,,1,0,59.1,0,76.1,39.1,1.6,16.1,781,40.0,-1,1,9,31,21.73,16.0,3.0,26,46,8.80,65.2,0,1,4,4,4,4,1,4,1,1,4,4,4,1,1,1,1,4,1,9
20037367,Physical and Mathematical Sciences,Statistics and Probability,CARNEGIE MELLON UNIVERSITY,Statistics,http://www.stat.cmu.edu,Private,1,3,11,31,12,25,6,16,33,56,49,59,0.95,1.80,84.0,1.39,100.0,36.4,6.00,,1,0,23.1,0,43.9,36.6,6.6,11.8,786,25.0,1,-1,15,17,13.41,12.0,59.0,15,41,11.20,0,75.6,3,1,1,4,3,1,1,4,4,1,1,1,1,1,1,2,3,1,15
20019327,Physical and Mathematical Sciences,Statistics and Probability,CASE WESTERN RESERVE UNIVERSITY,Statistics,http://stat.case.edu,Private,2,1,12,57,27,46,18,41,61,61,17,45,0.75,1.60,75.7,0,0,26.7,5.69,27.8,-1,0,50.0,0,23.1,76.9,2,77.8,779,5.6,1,-1,17,18,6.03,11.0,72.0,4,13,2.80,0,0,1,1,1,1,4,1,3,3,2,1,1,1,1,1,3,3,1,1,17
20056432,Physical and Mathematical Sciences,Statistics and Probability,COLORADO STATE UNIVERSITY,Statistics,http://www.stat.colostate.edu,Public,5,2,19,43,31,48,17,38,33,55,45,57,0.82,1.18,81.8,0.09,83.3,32.3,5.00,,1,0,9.1,11.8,40.0,43.3,2.6,0,781,0,1,-1,16,11,11,0,82.0,11,30,4.40,37.0,40.7,3,1,2,1,4,3,1,3,2,3,1,1,3,3,1,4,3,3,16
20057910,Physical and Mathematical Sciences,Statistics and Probability,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,Statistics,http://www.stat.columbia.edu/,Private,1,2,9,30,9,22,10,26,23,48,6,32,0.88,1.68,100.0,0.16,100.0,80.8,4.50,24.2,-1,7.7,13.3,6.7,38.7,83.9,4.8,7.7,800,0,1,1,18,13,12.02,23.0,46.0,12,31,7.20,0,0,3,3,3,2,2,3,2,1,1,3,1,3,1,1,3,3,3,3,18
20015596,Physical and Mathematical Sciences,Statistics and Probability,CORNELL UNIVERSITY,Biometry,http://www.bscb.cornell.edu/,Private,1,1,8,49,4,18,3,18,12,49,1,3,1.84,2.78,54.8,0.23,100.0,56.7,4.90,56.3,-1,22.2,0,75.0,66.7,44.4,1.2,0,779,0,1,1,17,13,6.34,15.0,62.0,13,9,1.60,22.2,33.3,3,1,1,1,3,3,1,2,4,3,3,3,1,1,3,2,1,3,17
20016168,Physical and Mathematical Sciences,Statistics and Probability,CORNELL UNIVERSITY,Statistics,http://www.stat.cornell.edu/,Private,1,1,7,31,30,48,18,39,3,21,57,61,0.85,1.05,77.2,0.15,100.0,58.1,5.00,56.3,1,11.8,0,0,28.6,42.9,3,0,713,0,1,1,17,17,8.54,6.0,88.0,17,21,4.00,14.3,47.6,3,1,1,1,1,3,1,2,4,3,3,3,1,1,3,2,1,3,17
20030050,Physical and Mathematical Sciences,Statistics and Probability,DUKE UNIVERSITY,Statistics and Decision Sciences,http://www.stat.duke.edu,Private,3,3,10,36,7,19,4,13,19,43,40,56,1.64,1.94,66.1,0.77,88.9,76.0,4.90,,1,0,18.8,0,33.3,60.6,4.2,15.8,792,0,1,1,17,19,14.35,26.0,42.0,16,33,7.80,54.5,27.3,3,1,3,1,3,1,1,3,3,1,4,1,1,1,1,2,1,3,17
20027458,Physical and Mathematical Sciences,Statistics and Probability,FLORIDA STATE UNIVERSITY,Statistics,http://www.stat.fsu.edu,Public,3,4,26,48,32,48,31,51,17,45,7,30,0.71,0.87,58.3,0.08,100.0,38.3,4.50,,1,0,8.3,31.3,46.7,62.2,3,0,794,6.3,1,1,17,12,12,25.0,75.0,12,45,7.80,10.3,79.5,3,3,3,1,2,1,1,4,1,3,1,1,3,1,1,3,3,3,17
