UID,Name,DOI,Citation,Rights,More.Information,Data.generalisations,Information.withheld,Download.limit,Number.of.Records.in.Download
co157,Queen Victoria Museum and Art Gallery - Mammals,,"Records provided by Queen Victoria Museum and Art Gallery - Mammals, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/co157,,,NA,78
co111,Tasmanian Museum and Art Gallery Vertebrate Collection,,"Records provided by Tasmanian Museum and Art Gallery Vertebrate Collection, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/co111,,,NA,37
co150,Queensland Museum Mammals,,"Records provided by Queensland Museum Mammals, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/co150,,,NA,104
dp52,Questagame,,"Records provided by Questagame, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/dp52,,,NA,34
dr8128,Australian Platypus Conservancy,doi:10.15468/jqg4g8,Australian Platypus Conservancy,Creative Commons Attribution (International) (CC-BY 4.0 (Int)),For more information: https://collections.ala.org.au/public/show/dr8128,,,NA,468
dr1097,Victorian Biodiversity Atlas,doi:10.15468/khlfs3,"Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]).","CC-BY Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]).",For more information: https://collections.ala.org.au/public/show/dr1097,,,NA,1646
co118,Museums Victoria Mammalogy Collection,,"Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/co118,,,NA,306
dr1132,WildNet - Queensland Wildlife Data,doi:10.15468/lxgoyb,Queensland Government,CC-BY,For more information: https://collections.ala.org.au/public/show/dr1132,,,NA,628
dr344,Queensland Museum provider for OZCAM,doi:10.15468/lotsye,"Queensland Museum, http://www.qm.qld.gov.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr344,,,NA,104
dr585,Barry Armstead Photography,doi:10.15468/encvvy,"Photo by: Barry Armstead Photography
http://barryarmsteadphotography.webs.com",CC-BY-NC,For more information: https://collections.ala.org.au/public/show/dr585,,,NA,2
dr343,Northern Territory Museum and Art Gallery provider for OZCAM,doi:10.15468/giro3a,"Northern Territory Museum and Art Gallery, https://www.magnt.net.au/",Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)),For more information: https://collections.ala.org.au/public/show/dr343,,,NA,5
