date, game, team1, score1, score2, team2, location
7 October 2017,1,Central Coast Mariners,1,5,Newcastle Jets,Gosford
15 October 2017,2,Newcastle Jets,2,2,Perth Glory,Newcastle
22 October 2017,3,Brisbane Roar,1,2,Newcastle Jets,Brisbane
29 October 2017,4,Newcastle Jets,1,1,Western Sydney Wanderers,Newcastle
4 November 2017,5,Newcastle Jets,3,0,Wellington Phoenix,Newcastle
11 November 2017,6,Adelaide United,1,2,Newcastle Jets,Adelaide
18 November 2017,7,Sydney FC,2,1,Newcastle Jets,Sydney
23 November 2017,8,Newcastle Jets,4,1,Melbourne Victory,Newcastle
2 December 2017,9,Newcastle Jets,1,2,Melbourne City,Newcastle
9 December 2017,10,Perth Glory,1,2,Newcastle Jets,Perth
16 December 2017,11,Newcastle Jets,2,1,Adelaide United,Newcastle
22 December 2017,12,Newcastle Jets,4,0,Western Sydney Wanderers,Newcastle
29 December 2017,13,Melbourne Victory,2,1,Newcastle Jets,Melbourne
3 January 2018,14,Sydney FC,2,2,Newcastle Jets,Sydney
9 January 2018,15,Newcastle Jets,2,0,Central Coast Mariners,Newcastle
12 January 2018,16,Newcastle Jets,1,0,Brisbane Roar,Newcastle
20 January 2018,17,Newcastle Jets,2,3,Wellington Phoenix,Newcastle
25 January 2018,18,Melbourne City,2,2,Newcastle Jets,Melbourne
3 February 2018,19,Newcastle Jets,2,0,Melbourne Victory,Newcastle
16 February 2018,20,Western Sydney Wanderers,2,2,Newcastle Jets,Sydney
24 February 2018,21,Brisbane Roar,0,1,Newcastle Jets,Brisbane
3 March 2018,22,Newcastle Jets,2,1,Sydney FC,Newcastle
17 March 2018,23,Wellington Phoenix,0,1,Newcastle Jets,Auckland
23 March 2018,24,Adelaide United,5,2,Newcastle Jets,Adelaide
1 April 2018,25,Newcastle Jets,0,3,Melbourne City,Newcastle
6 April 2018,26,Newcastle Jets,0,2,Perth Glory,Newcastle
14 April 2018,27,Central Coast Mariners,2,8,Newcastle Jets,Gosford
27 April 2018, 28,Newcastle Jets,2,1,Melbourne City,Newcastle
5 May 2018,29,Newcastle Jets,0,1,Melbourne Victory,Newcastle
