time,treatment,subject,rep,potato,buttery,grassy,rancid,painty
1,1,3,1,2.9,0,0,0,5.5
1,1,3,2,14,0,0,1.1,0
1,1,10,1,11,6.4,0,0,0
1,1,10,2,9.9,5.9,2.9,2.2,0
1,1,15,1,1.2,0.1,0,1.1,5.1
1,1,15,2,8.8,3,3.6,1.5,2.3
1,1,16,1,9,2.6,0.4,0.1,0.2
1,1,16,2,8.2,4.4,0.3,1.4,4
1,1,19,1,7,3.2,0,4.9,3.2
1,1,19,2,13,0,3.1,4.3,10.3
1,1,31,1,12.2,0,0,2.5,2
1,1,31,2,12.8,2.5,0,5.6,0
1,1,51,1,8.6,1.7,0.1,1.4,0.1
1,1,51,2,10.2,4.2,3.6,3.3,4
1,1,52,1,5.8,0,1.7,8.5,1.1
1,1,52,2,7,3.1,0.3,2.8,0.5
1,1,63,1,8.3,0,0,1.1,0.4
1,1,63,2,2.9,0,0,12.9,3.4
1,1,78,1,4.9,1.2,0,1.1,3.5
1,1,78,2,8.8,0.6,3,0.5,1.1
1,1,79,1,5.1,0,0,2,0
1,1,79,2,10.4,0.4,0,0,0
1,1,86,1,5.2,1.2,0,7.9,4.9
1,1,86,2,3,2.6,2.7,0,0
1,2,3,1,13.9,0,0,3.9,0
1,2,3,2,13.4,0.1,0,1.5,0
1,2,10,1,9.3,5.2,3.3,0,0
1,2,10,2,11,10.1,2.5,0,0
1,2,15,1,9,3.6,0.3,2,0.3
1,2,15,2,7,2.7,2.7,1.9,1
1,2,16,1,4.6,3.5,0.8,0.2,0.1
1,2,16,2,5,0.6,0.2,0.4,0
1,2,19,1,9.5,2.5,1.3,0,0
1,2,19,2,11.3,1.1,0,2.5,0
1,2,31,1,10.6,0.7,0,7,2.2
1,2,31,2,11.4,3.2,0,0.8,3.5
1,2,51,1,11.7,4.1,4.3,3.3,3.9
1,2,51,2,8.5,1.8,2.5,11.8,3.5
1,2,52,1,10.4,4.4,0,0,0
1,2,52,2,7.1,1.1,0.4,1.7,0
1,2,63,1,13.1,0.3,0,0,0
1,2,63,2,7.7,0,0,0.2,0
1,2,78,1,9.1,0.7,1.2,2,4.1
1,2,78,2,4.3,0.1,3.8,0.9,0.8
1,2,79,1,8.3,0.8,0.6,0,0
1,2,79,2,5.1,4.5,0,1.1,0
1,2,86,1,6.1,4.4,0,0,0
1,2,86,2,3.2,4.3,0,0,0
1,3,3,1,14.1,0,0,1.1,0
1,3,3,2,9.5,0,0.6,2.8,0
1,3,10,1,11.3,10.2,0,0,0
1,3,10,2,10.1,5,0.8,0,0
1,3,15,1,5.8,1,0.5,2.8,0.6
1,3,15,2,8,3.6,0.5,0.8,0.6
1,3,16,1,7.8,0.2,0.6,1.4,0
1,3,16,2,5.2,1.1,0.5,3.6,0.6
1,3,19,1,7.2,3.4,5.2,4.4,0
1,3,19,2,11.1,2.8,0,13.2,3
1,3,31,1,7.1,0.7,0.3,6.6,9.2
1,3,31,2,12.5,3.7,0,8.1,9.2
1,3,51,1,13.6,1.4,0,2.1,0
1,3,51,2,8.5,4.7,2,6,6.1
1,3,52,1,10.6,2,0,1.2,0
1,3,52,2,10.3,4.7,0,0,0
1,3,63,1,8.6,0.4,1.9,0,0
1,3,63,2,10.3,0,0,0.4,0
1,3,78,1,7.4,1.6,0,3.6,9.3
1,3,78,2,5,0.1,3.7,2.5,8.9
1,3,79,1,8.8,0,1.6,0.9,0
1,3,79,2,8.3,0,0,0.9,0
