Sensor,Date_Time,Date,Time,Count
Melbourne Central,2019-06-30T14:00:00Z,2019-07-01,0,250
Flinders Street Station Underpass,2019-06-30T14:00:00Z,2019-07-01,0,160
Melbourne Central,2019-06-30T15:00:00Z,2019-07-01,1,109
Flinders Street Station Underpass,2019-06-30T15:00:00Z,2019-07-01,1,61
Melbourne Central,2019-06-30T16:00:00Z,2019-07-01,2,48
Flinders Street Station Underpass,2019-06-30T16:00:00Z,2019-07-01,2,43
Melbourne Central,2019-06-30T17:00:00Z,2019-07-01,3,68
Flinders Street Station Underpass,2019-06-30T17:00:00Z,2019-07-01,3,39
Melbourne Central,2019-06-30T18:00:00Z,2019-07-01,4,36
Flinders Street Station Underpass,2019-06-30T18:00:00Z,2019-07-01,4,52
Melbourne Central,2019-06-30T19:00:00Z,2019-07-01,5,79
Flinders Street Station Underpass,2019-06-30T19:00:00Z,2019-07-01,5,248
Melbourne Central,2019-06-30T20:00:00Z,2019-07-01,6,155
Flinders Street Station Underpass,2019-06-30T20:00:00Z,2019-07-01,6,1014
Melbourne Central,2019-06-30T21:00:00Z,2019-07-01,7,261
Flinders Street Station Underpass,2019-06-30T21:00:00Z,2019-07-01,7,1829
Melbourne Central,2019-06-30T22:00:00Z,2019-07-01,8,647
Flinders Street Station Underpass,2019-06-30T22:00:00Z,2019-07-01,8,3936
Melbourne Central,2019-06-30T23:00:00Z,2019-07-01,9,680
Flinders Street Station Underpass,2019-06-30T23:00:00Z,2019-07-01,9,2102
Melbourne Central,2019-07-01T00:00:00Z,2019-07-01,10,804
Flinders Street Station Underpass,2019-07-01T00:00:00Z,2019-07-01,10,1251
Melbourne Central,2019-07-01T01:00:00Z,2019-07-01,11,1244
Flinders Street Station Underpass,2019-07-01T01:00:00Z,2019-07-01,11,1477
Melbourne Central,2019-07-01T02:00:00Z,2019-07-01,12,2330
Flinders Street Station Underpass,2019-07-01T02:00:00Z,2019-07-01,12,2111
Melbourne Central,2019-07-01T03:00:00Z,2019-07-01,13,2358
Flinders Street Station Underpass,2019-07-01T03:00:00Z,2019-07-01,13,2211
Melbourne Central,2019-07-01T04:00:00Z,2019-07-01,14,2110
Flinders Street Station Underpass,2019-07-01T04:00:00Z,2019-07-01,14,1987
Melbourne Central,2019-07-01T05:00:00Z,2019-07-01,15,2252
Flinders Street Station Underpass,2019-07-01T05:00:00Z,2019-07-01,15,2300
Melbourne Central,2019-07-01T06:00:00Z,2019-07-01,16,2096
Flinders Street Station Underpass,2019-07-01T06:00:00Z,2019-07-01,16,3121
Melbourne Central,2019-07-01T07:00:00Z,2019-07-01,17,2350
Flinders Street Station Underpass,2019-07-01T07:00:00Z,2019-07-01,17,5176
Melbourne Central,2019-07-01T08:00:00Z,2019-07-01,18,2223
Flinders Street Station Underpass,2019-07-01T08:00:00Z,2019-07-01,18,2913
Melbourne Central,2019-07-01T09:00:00Z,2019-07-01,19,1956
Flinders Street Station Underpass,2019-07-01T09:00:00Z,2019-07-01,19,1551
Melbourne Central,2019-07-01T10:00:00Z,2019-07-01,20,1687
Flinders Street Station Underpass,2019-07-01T10:00:00Z,2019-07-01,20,1054
Melbourne Central,2019-07-01T11:00:00Z,2019-07-01,21,1195
Flinders Street Station Underpass,2019-07-01T11:00:00Z,2019-07-01,21,841
Melbourne Central,2019-07-01T12:00:00Z,2019-07-01,22,767
Flinders Street Station Underpass,2019-07-01T12:00:00Z,2019-07-01,22,622
Melbourne Central,2019-07-01T13:00:00Z,2019-07-01,23,368
Flinders Street Station Underpass,2019-07-01T13:00:00Z,2019-07-01,23,434
Melbourne Central,2019-07-01T14:00:00Z,2019-07-02,0,199
Flinders Street Station Underpass,2019-07-01T14:00:00Z,2019-07-02,0,157
Melbourne Central,2019-07-01T15:00:00Z,2019-07-02,1,101
Flinders Street Station Underpass,2019-07-01T15:00:00Z,2019-07-02,1,48
Melbourne Central,2019-07-01T16:00:00Z,2019-07-02,2,41
Flinders Street Station Underpass,2019-07-01T16:00:00Z,2019-07-02,2,27
Melbourne Central,2019-07-01T17:00:00Z,2019-07-02,3,35
Flinders Street Station Underpass,2019-07-01T17:00:00Z,2019-07-02,3,23
Melbourne Central,2019-07-01T18:00:00Z,2019-07-02,4,14
Flinders Street Station Underpass,2019-07-01T18:00:00Z,2019-07-02,4,40
Melbourne Central,2019-07-01T19:00:00Z,2019-07-02,5,77
Flinders Street Station Underpass,2019-07-01T19:00:00Z,2019-07-02,5,207
Melbourne Central,2019-07-01T20:00:00Z,2019-07-02,6,174
Flinders Street Station Underpass,2019-07-01T20:00:00Z,2019-07-02,6,1018
Melbourne Central,2019-07-01T21:00:00Z,2019-07-02,7,282
Flinders Street Station Underpass,2019-07-01T21:00:00Z,2019-07-02,7,1837
Melbourne Central,2019-07-01T22:00:00Z,2019-07-02,8,563
Flinders Street Station Underpass,2019-07-01T22:00:00Z,2019-07-02,8,3963
Melbourne Central,2019-07-01T23:00:00Z,2019-07-02,9,684
Flinders Street Station Underpass,2019-07-01T23:00:00Z,2019-07-02,9,2046
Melbourne Central,2019-07-02T00:00:00Z,2019-07-02,10,813
Flinders Street Station Underpass,2019-07-02T00:00:00Z,2019-07-02,10,1137
Melbourne Central,2019-07-02T01:00:00Z,2019-07-02,11,1317
Flinders Street Station Underpass,2019-07-02T01:00:00Z,2019-07-02,11,1178
Melbourne Central,2019-07-02T02:00:00Z,2019-07-02,12,2230
Flinders Street Station Underpass,2019-07-02T02:00:00Z,2019-07-02,12,1947
Melbourne Central,2019-07-02T03:00:00Z,2019-07-02,13,2582
Flinders Street Station Underpass,2019-07-02T03:00:00Z,2019-07-02,13,2108
Melbourne Central,2019-07-02T04:00:00Z,2019-07-02,14,2209
Flinders Street Station Underpass,2019-07-02T04:00:00Z,2019-07-02,14,1921
Melbourne Central,2019-07-02T05:00:00Z,2019-07-02,15,2360
Flinders Street Station Underpass,2019-07-02T05:00:00Z,2019-07-02,15,2228
Melbourne Central,2019-07-02T06:00:00Z,2019-07-02,16,2346
Flinders Street Station Underpass,2019-07-02T06:00:00Z,2019-07-02,16,3206
Melbourne Central,2019-07-02T07:00:00Z,2019-07-02,17,2691
Flinders Street Station Underpass,2019-07-02T07:00:00Z,2019-07-02,17,5234
Melbourne Central,2019-07-02T08:00:00Z,2019-07-02,18,2491
Flinders Street Station Underpass,2019-07-02T08:00:00Z,2019-07-02,18,2788
Melbourne Central,2019-07-02T09:00:00Z,2019-07-02,19,2216
Flinders Street Station Underpass,2019-07-02T09:00:00Z,2019-07-02,19,1464
Melbourne Central,2019-07-02T10:00:00Z,2019-07-02,20,1725
Flinders Street Station Underpass,2019-07-02T10:00:00Z,2019-07-02,20,1076
Melbourne Central,2019-07-02T11:00:00Z,2019-07-02,21,1388
Flinders Street Station Underpass,2019-07-02T11:00:00Z,2019-07-02,21,984
Melbourne Central,2019-07-02T12:00:00Z,2019-07-02,22,872
Flinders Street Station Underpass,2019-07-02T12:00:00Z,2019-07-02,22,687
Melbourne Central,2019-07-02T13:00:00Z,2019-07-02,23,459
Flinders Street Station Underpass,2019-07-02T13:00:00Z,2019-07-02,23,395
Melbourne Central,2019-07-02T14:00:00Z,2019-07-03,0,252
Flinders Street Station Underpass,2019-07-02T14:00:00Z,2019-07-03,0,168
Melbourne Central,2019-07-02T15:00:00Z,2019-07-03,1,123
Flinders Street Station Underpass,2019-07-02T15:00:00Z,2019-07-03,1,40
Melbourne Central,2019-07-02T16:00:00Z,2019-07-03,2,64
Flinders Street Station Underpass,2019-07-02T16:00:00Z,2019-07-03,2,28
Melbourne Central,2019-07-02T17:00:00Z,2019-07-03,3,43
Flinders Street Station Underpass,2019-07-02T17:00:00Z,2019-07-03,3,19
Melbourne Central,2019-07-02T18:00:00Z,2019-07-03,4,34
Flinders Street Station Underpass,2019-07-02T18:00:00Z,2019-07-03,4,43
Melbourne Central,2019-07-02T19:00:00Z,2019-07-03,5,105
Flinders Street Station Underpass,2019-07-02T19:00:00Z,2019-07-03,5,245
Melbourne Central,2019-07-02T20:00:00Z,2019-07-03,6,192
Flinders Street Station Underpass,2019-07-02T20:00:00Z,2019-07-03,6,999
Melbourne Central,2019-07-02T21:00:00Z,2019-07-03,7,297
Flinders Street Station Underpass,2019-07-02T21:00:00Z,2019-07-03,7,1854
Melbourne Central,2019-07-02T22:00:00Z,2019-07-03,8,592
Flinders Street Station Underpass,2019-07-02T22:00:00Z,2019-07-03,8,3768
Melbourne Central,2019-07-02T23:00:00Z,2019-07-03,9,760
Flinders Street Station Underpass,2019-07-02T23:00:00Z,2019-07-03,9,2084
Melbourne Central,2019-07-03T00:00:00Z,2019-07-03,10,757
Flinders Street Station Underpass,2019-07-03T00:00:00Z,2019-07-03,10,1201
Melbourne Central,2019-07-03T01:00:00Z,2019-07-03,11,1414
