Sensor,Date_Time,Date,Time,Count
Bourke Street Mall (North),2019-06-30T14:00:00Z,2019-07-01,0,67
Bourke Street Mall (South),2019-06-30T14:00:00Z,2019-07-01,0,37
Melbourne Central,2019-06-30T14:00:00Z,2019-07-01,0,250
Town Hall (West),2019-06-30T14:00:00Z,2019-07-01,0,133
Princes Bridge,2019-06-30T14:00:00Z,2019-07-01,0,79
Flinders Street Station Underpass,2019-06-30T14:00:00Z,2019-07-01,0,160
Birrarung Marr,2019-06-30T14:00:00Z,2019-07-01,0,4
Webb Bridge,2019-06-30T14:00:00Z,2019-07-01,0,9
Southern Cross Station,2019-06-30T14:00:00Z,2019-07-01,0,10
Victoria Point,2019-06-30T14:00:00Z,2019-07-01,0,12
Waterfront City,2019-06-30T14:00:00Z,2019-07-01,0,25
New Quay,2019-06-30T14:00:00Z,2019-07-01,0,55
Flagstaff Station,2019-06-30T14:00:00Z,2019-07-01,0,NA
Sandridge Bridge,2019-06-30T14:00:00Z,2019-07-01,0,77
State Library,2019-06-30T14:00:00Z,2019-07-01,0,79
Collins St (North),2019-06-30T14:00:00Z,2019-07-01,0,44
Collins Place (South),2019-06-30T14:00:00Z,2019-07-01,0,15
Collins Place (North),2019-06-30T14:00:00Z,2019-07-01,0,7
Chinatown-Swanston St (North),2019-06-30T14:00:00Z,2019-07-01,0,121
Chinatown-Lt Bourke St (South),2019-06-30T14:00:00Z,2019-07-01,0,36
Bourke St-Russell St (West),2019-06-30T14:00:00Z,2019-07-01,0,161
Flinders St-Elizabeth St (East),2019-06-30T14:00:00Z,2019-07-01,0,257
Spencer St-Collins St (South),2019-06-30T14:00:00Z,2019-07-01,0,38
Spencer St-Collins St (North),2019-06-30T14:00:00Z,2019-07-01,0,121
Melbourne Convention Exhibition Centre,2019-06-30T14:00:00Z,2019-07-01,0,NA
QV Market-Elizabeth St (West),2019-06-30T14:00:00Z,2019-07-01,0,92
QV Market-Peel St,2019-06-30T14:00:00Z,2019-07-01,0,NA
The Arts Centre,2019-06-30T14:00:00Z,2019-07-01,0,46
St Kilda Rd-Alexandra Gardens,2019-06-30T14:00:00Z,2019-07-01,0,17
Lonsdale St (South),2019-06-30T14:00:00Z,2019-07-01,0,175
Lygon St (West),2019-06-30T14:00:00Z,2019-07-01,0,32
City Square,2019-06-30T14:00:00Z,2019-07-01,0,NA
Flinders St-Spring St (West),2019-06-30T14:00:00Z,2019-07-01,0,13
Flinders St-Spark La,2019-06-30T14:00:00Z,2019-07-01,0,11
Southbank,2019-06-30T14:00:00Z,2019-07-01,0,88
Queen St (West),2019-06-30T14:00:00Z,2019-07-01,0,11
Lygon St (East),2019-06-30T14:00:00Z,2019-07-01,0,5
Flinders St-Swanston St (West),2019-06-30T14:00:00Z,2019-07-01,0,73
Alfred Place,2019-06-30T14:00:00Z,2019-07-01,0,17
Lonsdale St-Spring St (West),2019-06-30T14:00:00Z,2019-07-01,0,16
Grattan St-Swanston St (West),2019-06-30T14:00:00Z,2019-07-01,0,20
Monash Rd-Swanston St (West),2019-06-30T14:00:00Z,2019-07-01,0,15
Tin Alley-Swanston St (West),2019-06-30T14:00:00Z,2019-07-01,0,12
Bourke Street Mall (North),2019-06-30T15:00:00Z,2019-07-01,1,44
Bourke Street Mall (South),2019-06-30T15:00:00Z,2019-07-01,1,8
Melbourne Central,2019-06-30T15:00:00Z,2019-07-01,1,109
Town Hall (West),2019-06-30T15:00:00Z,2019-07-01,1,66
Princes Bridge,2019-06-30T15:00:00Z,2019-07-01,1,51
Flinders Street Station Underpass,2019-06-30T15:00:00Z,2019-07-01,1,61
Birrarung Marr,2019-06-30T15:00:00Z,2019-07-01,1,2
Webb Bridge,2019-06-30T15:00:00Z,2019-07-01,1,3
Southern Cross Station,2019-06-30T15:00:00Z,2019-07-01,1,7
Victoria Point,2019-06-30T15:00:00Z,2019-07-01,1,12
Waterfront City,2019-06-30T15:00:00Z,2019-07-01,1,4
New Quay,2019-06-30T15:00:00Z,2019-07-01,1,7
Flagstaff Station,2019-06-30T15:00:00Z,2019-07-01,1,NA
Sandridge Bridge,2019-06-30T15:00:00Z,2019-07-01,1,21
State Library,2019-06-30T15:00:00Z,2019-07-01,1,62
Collins St (North),2019-06-30T15:00:00Z,2019-07-01,1,21
Collins Place (South),2019-06-30T15:00:00Z,2019-07-01,1,11
Collins Place (North),2019-06-30T15:00:00Z,2019-07-01,1,2
Chinatown-Swanston St (North),2019-06-30T15:00:00Z,2019-07-01,1,60
Chinatown-Lt Bourke St (South),2019-06-30T15:00:00Z,2019-07-01,1,39
Bourke St-Russell St (West),2019-06-30T15:00:00Z,2019-07-01,1,119
Flinders St-Elizabeth St (East),2019-06-30T15:00:00Z,2019-07-01,1,99
Spencer St-Collins St (South),2019-06-30T15:00:00Z,2019-07-01,1,21
Spencer St-Collins St (North),2019-06-30T15:00:00Z,2019-07-01,1,47
Melbourne Convention Exhibition Centre,2019-06-30T15:00:00Z,2019-07-01,1,NA
QV Market-Elizabeth St (West),2019-06-30T15:00:00Z,2019-07-01,1,66
QV Market-Peel St,2019-06-30T15:00:00Z,2019-07-01,1,NA
The Arts Centre,2019-06-30T15:00:00Z,2019-07-01,1,46
St Kilda Rd-Alexandra Gardens,2019-06-30T15:00:00Z,2019-07-01,1,17
Lonsdale St (South),2019-06-30T15:00:00Z,2019-07-01,1,152
Lygon St (West),2019-06-30T15:00:00Z,2019-07-01,1,16
City Square,2019-06-30T15:00:00Z,2019-07-01,1,NA
Flinders St-Spring St (West),2019-06-30T15:00:00Z,2019-07-01,1,1
Flinders St-Spark La,2019-06-30T15:00:00Z,2019-07-01,1,2
Southbank,2019-06-30T15:00:00Z,2019-07-01,1,47
Queen St (West),2019-06-30T15:00:00Z,2019-07-01,1,6
Lygon St (East),2019-06-30T15:00:00Z,2019-07-01,1,2
Flinders St-Swanston St (West),2019-06-30T15:00:00Z,2019-07-01,1,51
Alfred Place,2019-06-30T15:00:00Z,2019-07-01,1,8
Lonsdale St-Spring St (West),2019-06-30T15:00:00Z,2019-07-01,1,7
Grattan St-Swanston St (West),2019-06-30T15:00:00Z,2019-07-01,1,11
Monash Rd-Swanston St (West),2019-06-30T15:00:00Z,2019-07-01,1,1
Tin Alley-Swanston St (West),2019-06-30T15:00:00Z,2019-07-01,1,1
Bourke Street Mall (North),2019-06-30T16:00:00Z,2019-07-01,2,22
Bourke Street Mall (South),2019-06-30T16:00:00Z,2019-07-01,2,20
Melbourne Central,2019-06-30T16:00:00Z,2019-07-01,2,48
Town Hall (West),2019-06-30T16:00:00Z,2019-07-01,2,49
Princes Bridge,2019-06-30T16:00:00Z,2019-07-01,2,27
Flinders Street Station Underpass,2019-06-30T16:00:00Z,2019-07-01,2,43
Birrarung Marr,2019-06-30T16:00:00Z,2019-07-01,2,NA
Webb Bridge,2019-06-30T16:00:00Z,2019-07-01,2,5
Southern Cross Station,2019-06-30T16:00:00Z,2019-07-01,2,1
Victoria Point,2019-06-30T16:00:00Z,2019-07-01,2,NA
Waterfront City,2019-06-30T16:00:00Z,2019-07-01,2,7
New Quay,2019-06-30T16:00:00Z,2019-07-01,2,13
Flagstaff Station,2019-06-30T16:00:00Z,2019-07-01,2,NA
Sandridge Bridge,2019-06-30T16:00:00Z,2019-07-01,2,9
State Library,2019-06-30T16:00:00Z,2019-07-01,2,13
Collins St (North),2019-06-30T16:00:00Z,2019-07-01,2,9
Collins Place (South),2019-06-30T16:00:00Z,2019-07-01,2,8
Collins Place (North),2019-06-30T16:00:00Z,2019-07-01,2,6
Chinatown-Swanston St (North),2019-06-30T16:00:00Z,2019-07-01,2,31
Chinatown-Lt Bourke St (South),2019-06-30T16:00:00Z,2019-07-01,2,17
Bourke St-Russell St (West),2019-06-30T16:00:00Z,2019-07-01,2,67
Flinders St-Elizabeth St (East),2019-06-30T16:00:00Z,2019-07-01,2,146
Spencer St-Collins St (South),2019-06-30T16:00:00Z,2019-07-01,2,7
Spencer St-Collins St (North),2019-06-30T16:00:00Z,2019-07-01,2,26
Melbourne Convention Exhibition Centre,2019-06-30T16:00:00Z,2019-07-01,2,NA
QV Market-Elizabeth St (West),2019-06-30T16:00:00Z,2019-07-01,2,44
QV Market-Peel St,2019-06-30T16:00:00Z,2019-07-01,2,NA
The Arts Centre,2019-06-30T16:00:00Z,2019-07-01,2,17
St Kilda Rd-Alexandra Gardens,2019-06-30T16:00:00Z,2019-07-01,2,3
Lonsdale St (South),2019-06-30T16:00:00Z,2019-07-01,2,75
Lygon St (West),2019-06-30T16:00:00Z,2019-07-01,2,9
City Square,2019-06-30T16:00:00Z,2019-07-01,2,NA
Flinders St-Spring St (West),2019-06-30T16:00:00Z,2019-07-01,2,1
Flinders St-Spark La,2019-06-30T16:00:00Z,2019-07-01,2,4
Southbank,2019-06-30T16:00:00Z,2019-07-01,2,20
Queen St (West),2019-06-30T16:00:00Z,2019-07-01,2,5
Lygon St (East),2019-06-30T16:00:00Z,2019-07-01,2,1
Flinders St-Swanston St (West),2019-06-30T16:00:00Z,2019-07-01,2,29
Alfred Place,2019-06-30T16:00:00Z,2019-07-01,2,5
Lonsdale St-Spring St (West),2019-06-30T16:00:00Z,2019-07-01,2,5
Grattan St-Swanston St (West),2019-06-30T16:00:00Z,2019-07-01,2,4
Monash Rd-Swanston St (West),2019-06-30T16:00:00Z,2019-07-01,2,3
Tin Alley-Swanston St (West),2019-06-30T16:00:00Z,2019-07-01,2,3
Bourke Street Mall (North),2019-06-30T17:00:00Z,2019-07-01,3,24
Bourke Street Mall (South),2019-06-30T17:00:00Z,2019-07-01,3,10
