Sensor,Date_Time,Date,Time,Count
Melbourne Central,2017-12-31T13:00:00Z,2018-01-01,0,2996
Melbourne Central,2017-12-31T14:00:00Z,2018-01-01,1,3481
Melbourne Central,2017-12-31T15:00:00Z,2018-01-01,2,1721
Melbourne Central,2017-12-31T16:00:00Z,2018-01-01,3,1056
Melbourne Central,2017-12-31T17:00:00Z,2018-01-01,4,417
Melbourne Central,2017-12-31T18:00:00Z,2018-01-01,5,222
Melbourne Central,2017-12-31T19:00:00Z,2018-01-01,6,110
Melbourne Central,2017-12-31T20:00:00Z,2018-01-01,7,180
Melbourne Central,2017-12-31T21:00:00Z,2018-01-01,8,205
Melbourne Central,2017-12-31T22:00:00Z,2018-01-01,9,326
Melbourne Central,2017-12-31T23:00:00Z,2018-01-01,10,548
Melbourne Central,2018-01-01T00:00:00Z,2018-01-01,11,838
Melbourne Central,2018-01-01T01:00:00Z,2018-01-01,12,1280
Melbourne Central,2018-01-01T02:00:00Z,2018-01-01,13,1656
Melbourne Central,2018-01-01T03:00:00Z,2018-01-01,14,1726
Melbourne Central,2018-01-01T04:00:00Z,2018-01-01,15,1941
Melbourne Central,2018-01-01T05:00:00Z,2018-01-01,16,1823
Melbourne Central,2018-01-01T06:00:00Z,2018-01-01,17,1807
Melbourne Central,2018-01-01T07:00:00Z,2018-01-01,18,1994
Melbourne Central,2018-01-01T08:00:00Z,2018-01-01,19,1947
Melbourne Central,2018-01-01T09:00:00Z,2018-01-01,20,1793
Melbourne Central,2018-01-01T10:00:00Z,2018-01-01,21,1355
Melbourne Central,2018-01-01T11:00:00Z,2018-01-01,22,879
Melbourne Central,2018-01-01T12:00:00Z,2018-01-01,23,531
Melbourne Central,2018-01-01T13:00:00Z,2018-01-02,0,244
Melbourne Central,2018-01-01T14:00:00Z,2018-01-02,1,100
Melbourne Central,2018-01-01T15:00:00Z,2018-01-02,2,76
Melbourne Central,2018-01-01T16:00:00Z,2018-01-02,3,38
Melbourne Central,2018-01-01T17:00:00Z,2018-01-02,4,80
Melbourne Central,2018-01-01T18:00:00Z,2018-01-02,5,60
Melbourne Central,2018-01-01T19:00:00Z,2018-01-02,6,95
Melbourne Central,2018-01-01T20:00:00Z,2018-01-02,7,264
Melbourne Central,2018-01-01T21:00:00Z,2018-01-02,8,414
Melbourne Central,2018-01-01T22:00:00Z,2018-01-02,9,487
Melbourne Central,2018-01-01T23:00:00Z,2018-01-02,10,864
Melbourne Central,2018-01-02T00:00:00Z,2018-01-02,11,1356
Melbourne Central,2018-01-02T01:00:00Z,2018-01-02,12,1886
Melbourne Central,2018-01-02T02:00:00Z,2018-01-02,13,2354
Melbourne Central,2018-01-02T03:00:00Z,2018-01-02,14,2262
Melbourne Central,2018-01-02T04:00:00Z,2018-01-02,15,2084
Melbourne Central,2018-01-02T05:00:00Z,2018-01-02,16,2229
Melbourne Central,2018-01-02T06:00:00Z,2018-01-02,17,2207
Melbourne Central,2018-01-02T07:00:00Z,2018-01-02,18,2164
Melbourne Central,2018-01-02T08:00:00Z,2018-01-02,19,1905
Melbourne Central,2018-01-02T09:00:00Z,2018-01-02,20,1844
Melbourne Central,2018-01-02T10:00:00Z,2018-01-02,21,1448
Melbourne Central,2018-01-02T11:00:00Z,2018-01-02,22,990
Melbourne Central,2018-01-02T12:00:00Z,2018-01-02,23,685
Melbourne Central,2018-01-02T13:00:00Z,2018-01-03,0,283
Melbourne Central,2018-01-02T14:00:00Z,2018-01-03,1,141
Melbourne Central,2018-01-02T15:00:00Z,2018-01-03,2,77
Melbourne Central,2018-01-02T16:00:00Z,2018-01-03,3,34
Melbourne Central,2018-01-02T17:00:00Z,2018-01-03,4,28
Melbourne Central,2018-01-02T18:00:00Z,2018-01-03,5,63
Melbourne Central,2018-01-02T19:00:00Z,2018-01-03,6,121
Melbourne Central,2018-01-02T20:00:00Z,2018-01-03,7,270
Melbourne Central,2018-01-02T21:00:00Z,2018-01-03,8,394
Melbourne Central,2018-01-02T22:00:00Z,2018-01-03,9,509
Melbourne Central,2018-01-02T23:00:00Z,2018-01-03,10,865
Melbourne Central,2018-01-03T00:00:00Z,2018-01-03,11,1173
Melbourne Central,2018-01-03T01:00:00Z,2018-01-03,12,1952
Melbourne Central,2018-01-03T02:00:00Z,2018-01-03,13,2298
Melbourne Central,2018-01-03T03:00:00Z,2018-01-03,14,2263
Melbourne Central,2018-01-03T04:00:00Z,2018-01-03,15,2215
Melbourne Central,2018-01-03T05:00:00Z,2018-01-03,16,2152
Melbourne Central,2018-01-03T06:00:00Z,2018-01-03,17,2361
Melbourne Central,2018-01-03T07:00:00Z,2018-01-03,18,2112
Melbourne Central,2018-01-03T08:00:00Z,2018-01-03,19,2233
Melbourne Central,2018-01-03T09:00:00Z,2018-01-03,20,1931
Melbourne Central,2018-01-03T10:00:00Z,2018-01-03,21,1540
