Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Aasta O'Connor,WB,9,2.3,14,3.5,23,5.8,12,3,12,3,65.2,8,2,4,1,0,0,2,0.5,24,6,0,0,0,0,0,0,1,0.3,1,0.3,3,0.8,6,1.5,6,1.5,0,0,5,1.3,1,0.3,0,0,1,0.3,100,4,73.6
Abbey Holmes,ADEL,35,4.4,38,4.8,73,9.1,51,6.4,27,3.4,52.1,17,2.1,9,1.1,4,0.5,2,0.3,0,0,5,0.6,1,0.1,4,0.5,2,0.3,8,1,2,0.3,16,2,5,0.6,0,0,12,1.5,2,0.3,2,0.3,2,0.3,40,8,64.5
Aimee Schmidt,GWS,21,3,17,2.4,38,5.4,13,1.9,23,3.3,55.3,8,1.1,15,2.1,1,0.1,3,0.4,0,0,0,0,0,0,0,0,1,0.1,1,0.1,3,0.4,9,1.3,5,0.7,0,0,3,0.4,3,0.4,0,0,0,0,50,7,82.4
Ainslie Kemp,MELB,21,5.3,9,2.3,30,7.5,18,4.5,12,3,50,6,1.5,8,2,5,1.3,3,0.8,0,0,3,0.8,0,0,3,0.8,0,0,1,0.3,2,0.5,8,2,0,0,0,0,11,2.8,0,0,2,0.5,1,0.3,0,4,63.7
Akec Makur Chuot,FRE,29,4.8,8,1.3,37,6.2,20,3.3,16,2.7,48.6,8,1.3,2,0.3,1,0.2,0,0,6,1,5,0.8,1,0.2,4,0.7,5,0.8,0,0,2,0.3,13,2.2,11,1.8,1,0.2,8,1.3,0,0,0,0,0,0,0,6,64.9
Alex Williams,GWS,47,6.7,20,2.9,67,9.6,35,5,23,3.3,59.7,10,1.4,6,0.9,0,0,0,0,0,0,4,0.6,0,0,4,0.6,14,2,8,1.1,1,0.1,21,3,14,2,1,0.1,2,0.3,0,0,1,0.1,1,0.1,0,7,88.6
Alexandra Anderson,BL,29,3.6,29,3.6,58,7.3,33,4.1,28,3.5,56.9,10,1.3,6,0.8,0,0,0,0,1,0.1,7,0.9,1,0.1,6,0.8,5,0.6,4,0.5,5,0.6,27,3.4,3,0.4,0,0,5,0.6,0,0,1,0.1,0,0,0,8,57.5
Alexandra Saundry,GWS,7,1.8,5,1.3,12,3,7,1.8,5,1.3,33.3,9,2.3,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,1,0.3,5,1.3,4,1,3,0.8,0,0,0,0,0,0,0,0,0,0,0,4,56.2
Alicia Eva,COLL,63,9,16,2.3,79,11.3,35,5,42,6,50.6,22,3.1,16,2.3,0,0,1,0.1,0,0,11,1.6,3,0.4,8,1.1,9,1.3,7,1,5,0.7,32,4.6,7,1,2,0.3,11,1.6,3,0.4,1,0.1,0,0,75,7,84.9
Alicia Janz,FRE,4,1.3,9,3,13,4.3,11,3.7,2,0.7,61.5,5,1.7,1,0.3,1,0.3,1,0.3,47,15.7,2,0.7,1,0.3,1,0.3,2,0.7,2,0.7,1,0.3,16,5.3,4,1.3,0,0,2,0.7,0,0,0,0,0,0,0,3,72.3
Aliesha Newman,MELB,15,3.8,7,1.8,22,5.5,7,1.8,13,3.3,50,5,1.3,6,1.5,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,1,0.3,2,0.5,4,1,0,0,4,1,5,1.3,2,0.5,2,0.5,0,0,33.3,4,50.9
Alison Brown,CARL,15,2.1,11,1.6,26,3.7,8,1.1,18,2.6,65.4,2,0.3,6,0.9,0,0,1,0.1,0,0,1,0.1,0,0,1,0.1,3,0.4,2,0.3,0,0,10,1.4,0,0,1,0.1,9,1.3,0,0,1,0.1,0,0,0,7,47.9
Alison Downie,CARL,33,4.7,17,2.4,50,7.1,30,4.3,21,3,68,13,1.9,15,2.1,6,0.9,0,0,89,12.7,10,1.4,1,0.1,9,1.3,16,2.3,7,1,6,0.9,16,2.3,15,2.1,0,0,6,0.9,2,0.3,0,0,0,0,66.7,7,78.6
Alyssa Mifsud,MELB,28,4,13,1.9,41,5.9,23,3.3,17,2.4,63.4,14,2,10,1.4,5,0.7,7,1,2,0.3,1,0.1,0,0,1,0.1,0,0,4,0.6,6,0.9,21,3,2,0.3,0,0,4,0.6,9,1.3,3,0.4,2,0.3,45,7,66
Amanda Farrugia,GWS,49,7,14,2,63,9,25,3.6,38,5.4,52.4,14,2,14,2,0,0,0,0,0,0,5,0.7,1,0.1,4,0.6,15,2.1,5,0.7,5,0.7,27,3.9,15,2.1,0,0,6,0.9,0,0,0,0,0,0,0,7,92.2
Amelia Barden,COLL,36,5.1,29,4.1,65,9.3,50,7.1,19,2.7,47.7,12,1.7,8,1.1,1,0.1,0,0,0,0,17,2.4,5,0.7,12,1.7,8,1.1,9,1.3,5,0.7,39,5.6,2,0.3,2,0.3,11,1.6,0,0,1,0.1,0,0,0,7,69.5
Amy Lavell,FRE,34,4.9,21,3,55,7.9,33,4.7,24,3.4,54.5,9,1.3,14,2,5,0.7,6,0.9,0,0,3,0.4,0,0,3,0.4,2,0.3,2,0.3,1,0.1,17,2.4,10,1.4,0,0,8,1.1,2,0.3,3,0.4,3,0.4,33.3,7,81.2
Angela Foley,ADEL,56,7,22,2.8,78,9.8,50,6.3,31,3.9,48.7,25,3.1,16,2,2,0.3,1,0.1,0,0,3,0.4,0,0,3,0.4,9,1.1,8,1,7,0.9,15,1.9,4,0.5,0,0,11,1.4,1,0.1,0,0,0,0,33.3,8,80.9
Angelica Gogos,WB,27,3.9,27,3.9,54,7.7,32,4.6,23,3.3,61.1,4,0.6,2,0.3,0,0,0,0,0,0,11,1.6,1,0.1,10,1.4,4,0.6,11,1.6,1,0.1,43,6.1,5,0.7,0,0,5,0.7,1,0.1,2,0.3,0,0,25,7,70.6
