state,schtype,yr,birthmonth,birthyr,gender,desk,room,computer,internet,solarpanels,tvs,cars,music_instr,books,birthcnt,mother_birthcnt,father_birthcnt,test_anxiety,ambitious,prefer_team,make_friends_easy,tardy,science_fun,breakfast,work_pay,sport,internet_use,install_software,outhours_study,math_time,read_time,science_time,belong,anxtest,motivat,language,home_edres,home_poss,wealth,stuweight,math,science,read
QLD,Gov,Y10,10,1999,female,1,2,1,1,0036001,2,3,4,5,1,1,1,2,4,2,2,2,NA,NA,NA,NA,4,3,19,210,210,210,0.5073,-0.1522,0.592,313,-0.5113,0.7947,0.0592,28.19991,545.8999,589.5786999999999,586.5175
QLD,Gov,Y10,2,2000,female,2,1,1,1,0036002,4,4,4,3,1,1,1,3,3,3,3,2,3,2,1,1,5,3,7,165,165,165,-0.8021,0.2594,-0.4849,NaN,-0.7541,0.5157,0.7605,28.19991,511.6101,557.2042,570.8237999999999
QLD,Gov,Y10,3,2000,female,1,1,1,1,0036002,3,3,4,4,1,2,1,4,2,1,4,2,2,2,2,2,4,2,NA,210,210,210,-2.4078,2.5493,-0.2776,313,1.1563,0.7194,-0.122,28.19991,478.6052000000001,569.4709,570.0345
QLD,Gov,Y10,7,1999,female,1,1,1,1,0036001,4,3,1,6,1,1,1,2,4,1,2,1,4,1,1,1,5,3,23,210,210,210,-0.3381,0.2563,1.8543,313,1.1563,1.1326,0.9314,28.19991,506.09040000000005,529.0352999999999,531.0690000000001
QLD,Gov,Y10,8,1999,male,1,1,1,1,0036001,3,4,4,3,1,1,1,3,2,3,2,1,3,1,1,1,4,4,4,210,210,210,-0.505,0.4517,-1.1296,313,-0.5343,0.2721,0.7905,33.44862,481.85689999999994,504.2148,506.4988
QLD,Gov,Y10,3,2000,male,1,1,1,1,0036001,4,3,1,5,1,1,1,2,3,3,1,NA,NA,NA,NA,NA,5,3,9,210,210,210,-0.0099,0.5175,0.1218,313,1.1563,0.937,0.7054,33.44862,455.02020000000005,472.63770000000005,456.48820000000006
QLD,Gov,Y10,3,2000,male,1,1,1,1,0036001,4,4,4,4,1,1,1,1,2,3,3,NA,NA,NA,NA,NA,1,4,46,135,135,135,-1.1407,-0.8219,-0.3158,313,-0.8606,0.3443,0.5223,33.44862,406.0175,496.1411999999999,476.6835
QLD,Gov,Y10,1,2000,male,1,1,2,1,0036001,3,3,2,4,1,1,2,2,2,3,2,3,1,NA,NA,NA,6,3,NA,280,280,280,-0.6837,-0.6871,-0.8771,313,-1.1119,-0.1917,0.3563,33.44862,325.01800000000003,336.2385,322.53889999999996
QLD,Gov,Y10,6,1999,female,1,1,1,1,0036001,4,3,1,4,1,2,2,3,2,3,4,1,2,1,2,1,6,2,42,210,210,210,-3.1297,1.1311,-0.0056,313,-0.7218,0.4257,0.9314,42.4658,511.3188999999999,564.7958000000001,560.1061000000001
QLD,Gov,Y10,9,1999,female,1,1,2,1,0036002,3,1,3,3,2,2,2,4,2,1,3,1,2,1,2,1,7,3,0,210,210,0,-1.2936,2.5493,1.1359,313,-1.6471,-2.0708,-2.0806,42.4658,540.8711000000001,604.9170999999999,651.6709999999999
QLD,Gov,Y10,5,1999,female,1,1,1,1,0036002,4,3,4,5,2,2,2,3,2,2,3,1,3,2,2,2,7,3,NA,210,210,210,-1.1407,1.0461,-0.9233,313,-0.9044,0.8844,0.739,42.4658,481.0789000000001,561.132,501.00750000000005
QLD,Gov,Y10,7,1999,male,1,1,1,1,0036001,4,4,3,3,2,2,2,4,3,3,1,2,3,1,2,1,5,4,25,330,330,330,-0.1786,0.6999,1.3961,313,-0.7218,0.9219,1.5095,31.425,352.54420000000005,334.14279999999997,296.66319999999996
QLD,Gov,Y10,8,1999,male,1,1,1,1,0036001,4,3,1,4,2,2,2,3,2,2,2,1,4,1,2,2,5,3,6,210,210,210,-0.3381,1.1199,-0.2803,313,-0.7218,-0.6918,-0.3113,31.425,552.8855,590.9849,535.4903
QLD,Gov,Y10,2,2000,male,1,1,1,1,0036002,3,2,2,5,1,1,1,2,2,2,2,2,2,1,1,1,5,3,22,280,280,210,-0.3381,0.0244,-0.8771,313,1.1563,0.933,0.6636,1.88237,442.2781,489.73909999999995,481.85480000000007
QLD,Gov,Y10,8,1999,female,1,1,1,1,0036002,2,3,3,5,1,1,2,1,NA,NA,4,1,NA,NA,NA,NA,7,NA,15,210,210,210,-0.0752,-0.9266,0.0986,313,1.1563,1.0947,0.4368,1.67277,371.6817,421.4483,421.6438
QLD,Gov,Y10,3,2000,male,2,1,1,1,0036001,4,4,1,1,1,1,1,3,2,3,2,1,2,2,2,2,6,3,12,210,210,210,-0.3381,0.2594,-0.8771,313,-1.746,-0.1666,1.2205,1.88237,427.3224,441.5393,434.8409
QLD,Gov,Y10,4,2000,male,1,1,1,1,0036002,4,3,4,6,1,1,1,2,3,2,2,2,3,1,2,1,4,4,9,225,225,225,-0.4838,0.206,0.1218,313,0.0321,0.8748,0.9732,1.88237,532.3711000000001,539.9753999999999,521.1782999999999
QLD,Gov,Y10,5,1999,male,1,1,1,1,0036002,3,2,1,2,1,1,1,3,3,4,2,2,3,1,2,1,5,3,7,210,210,210,-0.3381,0.7993,-0.1651,313,0.0321,-0.7877,-0.7389,1.58932,482.4929,492.9999000000001,459.6794
QLD,Gov,Y10,8,1999,male,1,1,1,1,0036001,4,4,2,2,1,1,1,3,3,3,2,1,NA,NA,NA,NA,5,3,16,140,140,140,0.3079,0.0031,-0.7662,313,-0.2331,0.2634,0.6197,1.58932,436.58540000000005,432.33410000000003,437.2853
QLD,Gov,Y10,9,1999,male,1,2,1,1,0036001,4,3,1,1,1,1,1,2,3,4,2,4,3,2,1,2,7,3,20,210,210,210,-0.2541,-0.6534,0.1825,313,-0.9706,-0.2088,0.5579,1.58932,502.9731999999999,517.6850000000001,497.3219000000001
SA,Ind,Y10,9,1999,female,1,1,1,1,0036001,4,4,3,6,1,1,1,3,3,3,2,2,3,1,2,1,4,2,17,225,225,225,-0.3381,0.0647,1.3961,313,1.1563,2.1272,2.3487,12.82079,501.0706,527.8177,526.5641
SA,Ind,Y10,11,1999,female,1,1,1,1,0036001,3,3,1,3,1,1,1,3,4,3,2,1,3,1,2,2,4,2,10,225,225,225,0.6642,0.832,1.8543,313,1.1563,0.5764,0.5481,12.82079,496.3093,519.2471,522.3077999999999
SA,Ind,Y10,4,2000,female,1,1,1,1,0036001,4,4,2,2,1,1,1,2,3,3,1,1,3,1,2,1,NaN,NaN,11,225,225,225,2.5915,-0.9024,0.4094,313,0.8021,1.0429,2.3487,12.82079,401.3755,412.8469,435.1509
SA,Ind,Y10,2,2000,female,1,1,1,1,0036002,2,2,4,3,1,1,1,2,3,2,2,2,4,1,1,2,5,3,18,225,225,225,-0.3381,-0.6871,0.4094,313,1.1563,-0.1815,-0.6733,12.82079,614.9641,643.2715000000001,688.2839000000001
SA,Ind,Y10,3,2000,female,1,1,1,1,0036001,3,3,4,5,1,2,2,2,4,2,2,2,3,1,2,2,5,2,17,225,225,450,-0.5753,-0.0374,0.2296,313,0.0321,1.2338,0.5415,12.82079,643.9687,676.9273,702.6596999999999
SA,Ind,Y10,12,1999,male,1,1,1,1,0036002,4,4,4,4,1,1,1,2,4,3,4,3,3,1,2,1,5,3,16,225,225,225,0.5676,-0.6871,0.592,313,0.0321,0.9493,1.1207,11.78813,567.5501999999999,522.33,511.908
SA,Ind,Y10,11,1999,male,1,1,1,1,0036001,3,4,4,4,1,1,1,3,3,3,1,1,3,1,1,NA,5,3,5,225,225,225,0.0855,-0.0253,-0.4849,313,0.0321,1.7584,1.4388,11.78813,574.2876,629.7633000000001,586.2682000000001
SA,Ind,Y10,10,1999,male,1,1,1,1,0036001,4,4,3,4,1,2,2,3,4,3,1,1,3,2,2,1,6,3,13,225,225,225,1.5043,-0.0997,1.8543,313,1.1563,2.4397,2.6171,11.78813,475.77259999999995,457.58720000000005,477.98549999999994
