Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2018-19,NBA,Chicago Bulls,22,60,.268,4th of 5,-8.32,,99.0,-1.0,104.8,-5.6,113.2,2.8,,,F. Hoiberg (5-19) J. Boylen (17-41),R. Arcidiacono (3.7)
2017-18,NBA,Chicago Bulls,27,55,.329,5th of 5,-6.84,,98.3,1.0,103.8,-4.8,110.9,2.3,,,F. Hoiberg (27-55),B. Portis (3.5)
2016-17,NBA,Chicago Bulls*,41,41,.500,4th of 5,0.03,,95.3,-1.1,107.4,-1.4,107.0,-1.8,,Lost E. Conf. 1st Rnd.,F. Hoiberg (41-41),J. Butler (13.8)
2015-16,NBA,Chicago Bulls,42,40,.512,4th of 5,-1.46,,95.7,-0.1,105.0,-1.4,106.5,0.1,,,F. Hoiberg (42-40),J. Butler (9.1)
2014-15,NBA,Chicago Bulls*,50,32,.610,2nd of 5,2.54,,92.8,-1.1,107.5,1.9,104.3,-1.3,,Lost E. Conf. Semis,T. Thibodeau (50-32),J. Butler (11.2)
2013-14,NBA,Chicago Bulls*,48,34,.585,2nd of 5,1.20,,90.2,-3.7,102.5,-4.2,100.5,-6.2,,Lost E. Conf. 1st Rnd.,T. Thibodeau (48-34),J. Noah (11.2)
2012-13,NBA,Chicago Bulls*,45,37,.549,2nd of 5,-0.02,,89.3,-2.7,103.5,-2.4,103.2,-2.7,,Lost E. Conf. Semis,T. Thibodeau (45-37),J. Noah (7.3)
2011-12,NBA,Chicago Bulls*,50,16,.758,1st of 5,7.43,,89.1,-2.2,107.4,2.8,98.3,-6.3,,Lost E. Conf. 1st Rnd.,T. Thibodeau (50-16),J. Noah (9.0)
2010-11,NBA,Chicago Bulls*,62,20,.756,1st of 5,6.53,,90.4,-1.7,108.3,1.0,100.3,-7.0,,Lost E. Conf. Finals,T. Thibodeau (62-20),D. Rose (13.1)
2009-10,NBA,Chicago Bulls*,41,41,.500,3rd of 5,-1.64,,93.1,0.4,103.5,-4.1,105.3,-2.3,,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),J. Noah (6.2)
2008-09,NBA,Chicago Bulls*,41,41,.500,2nd of 5,-0.16,,93.1,1.4,108.4,0.1,108.7,0.4,,Lost E. Conf. 1st Rnd.,V. Del Negro (41-41),B. Gordon (6.9)
2007-08,NBA,Chicago Bulls,33,49,.402,4th of 5,-3.19,,93.0,0.6,103.9,-3.6,107.2,-0.3,,,S. Skiles (9-16) P. Myers (0-1) J. Boylan (24-32),B. Gordon (5.1)
2006-07,NBA,Chicago Bulls*,49,33,.598,3rd of 5,4.52,,93.6,1.7,104.9,-1.6,99.6,-6.9,,Lost E. Conf. Semis,S. Skiles (49-33),L. Deng (11.3)
2005-06,NBA,Chicago Bulls*,41,41,.500,4th of 5,0.51,,92.9,2.4,104.0,-2.2,103.4,-2.8,,Lost E. Conf. 1st Rnd.,S. Skiles (41-41),K. Hinrich (7.6)
2004-05,NBA,Chicago Bulls*,47,35,.573,2nd of 5,0.65,,92.4,1.5,101.4,-4.7,100.3,-5.8,,Lost E. Conf. 1st Rnd.,S. Skiles (47-35),T. Chandler (8.3)
2003-04,NBA,Chicago Bulls,23,59,.280,8th of 8,-6.69,,92.2,2.1,96.6,-6.3,103.4,0.5,,,B. Cartwright (4-10) P. Myers (0-2) S. Skiles (19-47),K. Hinrich (4.1)
2002-03,NBA,Chicago Bulls,30,52,.366,6th of 8,-5.31,,93.5,2.5,100.2,-3.4,105.6,2.0,,,B. Cartwright (30-52),D. Marshall (6.0)
2001-02,NBA,Chicago Bulls,21,61,.256,8th of 8,-8.52,,90.5,-0.2,98.2,-6.3,107.6,3.1,,,T. Floyd (4-21) B. Berry (0-2) B. Cartwright (17-38),B. Miller (4.4)
2000-01,NBA,Chicago Bulls,15,67,.183,8th of 8,-9.09,,89.3,-2.0,97.2,-5.8,107.3,4.3,,,T. Floyd (15-67),E. Brand (6.1)
1999-00,NBA,Chicago Bulls,17,65,.207,8th of 8,-9.23,,89.4,-3.7,94.2,-9.9,104.6,0.5,,,T. Floyd (17-65),E. Brand (7.5)
1998-99,NBA,Chicago Bulls,13,37,.260,8th of 8,-8.58,,88.1,-0.8,92.4,-9.8,103.0,0.8,,,T. Floyd (13-37),D. Simpkins (2.9)
1997-98,NBA,Chicago Bulls*,62,20,.756,1st of 8,7.24,,89.0,-1.3,107.7,2.7,99.8,-5.2,,Won Finals,P. Jackson (62-20),M. Jordan (15.8)
1996-97,NBA,Chicago Bulls*,69,13,.841,1st of 8,10.70,,90.0,-0.1,114.4,7.7,102.4,-4.3,,Won Finals,P. Jackson (69-13),M. Jordan (18.3)
