Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2018-19,NBA,Brooklyn Nets*,42,40,.512,4th of 5,-0.40,,100.8,0.8,109.6,-0.8,109.7,-0.7,,Lost E. Conf. 1st Rnd.,K. Atkinson (42-40),J. Allen (7.6)
2017-18,NBA,Brooklyn Nets,28,54,.341,5th of 5,-3.67,,98.9,1.6,106.9,-1.7,110.6,2.0,,,K. Atkinson (28-54),S. Dinwiddie (5.7)
2016-17,NBA,Brooklyn Nets,20,62,.244,5th of 5,-6.74,,101.3,4.9,104.1,-4.7,110.7,1.9,,,K. Atkinson (20-62),B. Lopez (4.9)
2015-16,NBA,Brooklyn Nets,21,61,.256,4th of 5,-7.12,,95.2,-0.6,103.2,-3.2,110.9,4.5,,,L. Hollins (10-27) T. Brown (11-34),B. Lopez (6.2)
2014-15,NBA,Brooklyn Nets*,38,44,.463,3rd of 5,-3.13,,92.7,-1.2,104.4,-1.2,107.4,1.8,,Lost E. Conf. 1st Rnd.,L. Hollins (38-44),B. Lopez (7.0)
2013-14,NBA,Brooklyn Nets*,44,38,.537,2nd of 5,-1.58,,91.4,-2.5,106.7,0.0,107.7,1.0,,Lost E. Conf. Semis,J. Kidd (44-38),D. Williams (5.4)
2012-13,NBA,Brooklyn Nets*,49,33,.598,2nd of 5,1.25,,88.8,-3.2,108.2,2.3,106.2,0.3,,Lost E. Conf. 1st Rnd.,A. Johnson (14-14) P. Carlesimo (35-19),D. Williams (10.9)
2011-12,NBA,New Jersey Nets,22,44,.333,5th of 5,-6.37,,90.1,-1.2,102.9,-1.7,109.6,5.0,,,A. Johnson (22-44),K. Humphries (5.3)
2010-11,NBA,New Jersey Nets,24,58,.293,4th of 5,-6.28,,89.9,-2.2,103.1,-4.2,109.9,2.6,,,A. Johnson (24-58),B. Lopez (6.3)
2009-10,NBA,New Jersey Nets,12,70,.146,5th of 5,-8.93,,91.4,-1.3,100.6,-7.0,110.5,2.9,,,L. Frank (0-16) T. Barrise (0-2) K. Vandeweghe (12-52),B. Lopez (7.9)
2008-09,NBA,New Jersey Nets,34,48,.415,3rd of 5,-2.31,,89.9,-1.8,108.3,0.0,111.0,2.7,,,L. Frank (34-48),V. Carter (7.5)
2007-08,NBA,New Jersey Nets,34,48,.415,4th of 5,-5.15,,91.5,-0.9,104.0,-3.5,109.4,1.9,,,L. Frank (34-48),V. Carter (7.7)
2006-07,NBA,New Jersey Nets*,41,41,.500,2nd of 5,-1.00,,91.4,-0.5,105.7,-0.8,106.6,0.1,,Lost E. Conf. Semis,L. Frank (41-41),V. Carter (10.5)
2005-06,NBA,New Jersey Nets*,49,33,.598,1st of 5,1.11,,89.8,-0.7,103.9,-2.3,102.4,-3.8,,Lost E. Conf. Semis,L. Frank (49-33),R. Jefferson (11.7)
2004-05,NBA,New Jersey Nets*,42,40,.512,3rd of 5,-1.82,,89.1,-1.8,101.4,-4.7,103.1,-3.0,,Lost E. Conf. 1st Rnd.,L. Frank (42-40),V. Carter (8.5)
2003-04,NBA,New Jersey Nets*,47,35,.573,1st of 7,1.88,,89.4,-0.7,100.8,-2.1,98.0,-4.9,,Lost E. Conf. Semis,B. Scott (22-20) L. Frank (25-15),R. Jefferson (11.0)
2002-03,NBA,New Jersey Nets*,49,33,.598,1st of 7,4.42,,91.6,0.6,103.8,0.2,98.1,-5.5,,Lost Finals,B. Scott (49-33),J. Kidd (11.3)
2001-02,NBA,New Jersey Nets*,52,30,.634,1st of 7,3.67,,91.8,1.1,104.0,-0.5,99.5,-5.0,,Lost Finals,B. Scott (52-30),J. Kidd (8.9)
2000-01,NBA,New Jersey Nets,26,56,.317,6th of 7,-5.30,,91.8,0.5,100.0,-3.0,105.5,2.5,,,B. Scott (26-56),S. Marbury (7.8)
1999-00,NBA,New Jersey Nets,31,51,.378,6th of 7,-1.18,,92.5,-0.6,105.1,1.0,106.3,2.2,,,D. Casey (31-51),S. Marbury (7.4)
1998-99,NBA,New Jersey Nets,16,34,.320,7th of 7,-3.20,,91.5,2.6,99.5,-2.7,103.6,1.4,,,J. Calipari (3-17) D. Casey (13-17),S. Marbury (4.0)
1997-98,NBA,New Jersey Nets*,43,39,.524,3rd of 7,1.88,,91.0,0.7,108.3,3.3,106.6,1.6,,Lost E. Conf. 1st Rnd.,J. Calipari (43-39),K. Kittles (8.4)
1996-97,NBA,New Jersey Nets,26,56,.317,5th of 7,-3.89,,92.4,2.3,104.7,-2.0,109.7,3.0,,,J. Calipari (26-56),K. Gill (8.8)
1995-96,NBA,New Jersey Nets,30,52,.366,6th of 7,-4.14,,90.9,-0.9,101.9,-5.7,106.5,-1.1,,,B. Beard (30-52),A. Gilliam (6.7)
1994-95,NBA,New Jersey Nets,30,52,.366,5th of 7,-3.28,,92.3,-0.6,105.2,-3.1,108.6,0.3,,,B. Beard (30-52),K. Anderson (6.8)
1993-94,NBA,New Jersey Nets*,45,37,.549,3rd of 7,2.11,,95.5,0.4,107.2,0.9,104.9,-1.4,,Lost E. Conf. 1st Rnd.,C. Daly (45-37),D. Coleman (9.9)
1992-93,NBA,New Jersey Nets*,43,39,.524,3rd of 7,1.20,,96.0,-0.8,106.5,-1.5,105.2,-2.8,,Lost E. Conf. 1st Rnd.,C. Daly (43-39),D. Coleman (9.5)
1991-92,NBA,New Jersey Nets*,40,42,.488,3rd of 7,-1.54,,98.0,1.4,107.0,-1.2,108.7,0.5,,Lost E. Conf. 1st Rnd.,B. Fitch (40-42),D. Petrovic (7.7)
1990-91,NBA,New Jersey Nets,26,56,.317,5th of 6,-4.53,,99.3,1.5,102.9,-5.0,107.4,-0.5,,,B. Fitch (26-56),D. Coleman (5.8)
1989-90,NBA,New Jersey Nets,17,65,.207,6th of 6,-7.82,,99.3,1.0,100.7,-7.4,108.6,0.5,,,B. Fitch (17-65),S. Bowie (4.7)
1988-89,NBA,New Jersey Nets,26,56,.317,5th of 6,-5.69,,100.1,-0.5,103.0,-4.8,109.3,1.5,,,W. Reed (26-56),L. Conner (6.2)
1987-88,NBA,New Jersey Nets,19,63,.232,5th of 5,-6.98,,98.6,-1.0,101.4,-6.6,109.6,1.6,,,D. Wohl (2-13) B. MacKinnon (10-29) W. Reed (7-21),B. Williams (7.6)
1986-87,NBA,New Jersey Nets,24,58,.293,4th of 5,-4.42,,101.8,1.0,105.6,-2.7,110.5,2.2,,,D. Wohl (24-58),B. Williams (7.9)
1985-86,NBA,New Jersey Nets*,39,43,.476,4th of 5,-1.39,,103.3,1.2,105.0,-2.2,106.9,-0.3,,Lost E. Conf. 1st Rnd.,D. Wohl (39-43),M. Gminski (9.2)
1984-85,NBA,New Jersey Nets*,42,40,.512,3rd of 5,0.64,,101.0,-1.1,107.9,0.0,107.7,-0.2,,Lost E. Conf. 1st Rnd.,S. Albeck (42-40),M. Richardson (8.7)
1983-84,NBA,New Jersey Nets*,45,37,.549,4th of 5,1.27,,103.0,1.6,106.1,-1.5,105.0,-2.6,,Lost E. Conf. Semis,S. Albeck (45-37),D. Dawkins (7.9)
1982-83,NBA,New Jersey Nets*,49,33,.598,3rd of 5,2.77,,104.0,0.9,101.6,-3.1,98.9,-5.8,,Lost E. Conf. 1st Rnd.,L. Brown (47-29) B. Blair (2-4),B. Williams (11.4)
1981-82,NBA,New Jersey Nets*,44,38,.537,3rd of 5,0.87,,103.1,2.2,103.0,-3.9,102.3,-4.6,,Lost E. Conf. 1st Rnd.,L. Brown (44-38),B. Williams (8.9)
1980-81,NBA,New Jersey Nets,24,58,.293,5th of 5,-5.15,,105.2,3.4,101.0,-4.5,106.7,1.2,,,K. Loughery (12-23) B. MacKinnon (12-35),M. Newlin (6.1)
1979-80,NBA,New Jersey Nets,34,48,.415,5th of 5,-0.98,,106.1,3.0,101.5,-3.8,102.5,-2.8,,,K. Loughery (34-48),M. Newlin (6.5)
1978-79,NBA,New Jersey Nets*,37,45,.451,3rd of 5,-4.00,,109.5,3.7,98.0,-5.8,101.8,-2.0,,Lost E. Conf. 1st Rnd.,K. Loughery (37-45),B. King (6.5)
1977-78,NBA,New Jersey Nets,24,58,.293,5th of 5,-5.61,,110.9,4.2,95.0,-5.9,100.2,-0.7,,,K. Loughery (24-58),B. King (5.9)
1976-77,NBA,New York Nets,22,60,.268,5th of 5,-6.54,,103.7,-2.8,92.2,-7.3,98.7,-0.8,,,K. Loughery (22-60),J. van Breda Kolff (4.5)
1975-76,ABA,New York Nets*,55,29,.655,2nd of 0,2.56,,105.9,-1.0,104.4,0.3,101.7,-2.4,,Won Finals,K. Loughery (55-29),J. Erving (17.7)
1974-75,ABA,New York Nets*,58,26,.690,2nd of 5,6.58,,103.4,0.3,106.3,1.6,98.9,-5.8,,Lost E. Div. Semis,K. Loughery (58-26),J. Erving (17.6)
1973-74,ABA,New York Nets*,55,29,.655,1st of 5,4.80,,105.0,2.4,103.5,0.5,98.4,-4.6,,Won Finals,K. Loughery (55-29),J. Erving (16.5)
1972-73,ABA,New York Nets*,30,54,.357,4th of 5,-5.80,,104.5,-4.8,98.8,-3.0,105.0,3.2,,Lost E. Div. Semis,L. Carnesecca (30-54),B. Paultz (5.6)
1971-72,ABA,New York Nets*,44,40,.524,3rd of 6,0.21,,108.8,-3.1,102.3,1.7,101.9,1.3,,Lost Finals,L. Carnesecca (44-40),R. Barry (11.1)
1970-71,ABA,New York Nets*,40,44,.476,3rd of 6,-0.86,,107.3,-3.8,103.0,-2.0,103.5,-1.5,,Lost E. Div. Semis,L. Carnesecca (40-44),R. Barry (8.1)
1969-70,ABA,New York Nets*,39,45,.464,4th of 6,-1.02,,107.2,-2.0,100.7,-2.0,101.5,-1.2,,Lost E. Div. Semis,Y. Larese (39-45),L. Tart (10.9)
1968-69,ABA,New York Nets,17,61,.218,5th of 5,-7.89,,109.4,0.0,98.4,-5.6,106.3,2.3,,,M. Zaslofsky (17-61),W. Simon (3.4)
1967-68,ABA,New Jersey Americans,36,42,.462,5th of 5,-1.13,,108.2,1.2,102.2,0.9,103.7,2.4,,,M. Zaslofsky (36-42),D. Anderson (7.9)
