Team,Season,Place
Juventus,1934,1
Inter,1934,2
ACF Fiorentina,1934,3
AS Roma,1934,4
Lazio Roma,1934,5
US Alessandria 1912,1934,6
Bologna FC,1934,7
SSC Napoli,1934,8
US Palermo,1934,9
Unione Triestina,1934,10
Brescia Calcio,1934,11
AC Milan,1934,12
Sampierdarenese,1934,13
Torino FC,1934,14
US Livorno,1934,15
Pro Vercelli,1934,16
Bologna FC,1935,1
AS Roma,1935,2
Torino FC,1935,3
Inter,1935,4
Juventus,1935,5
Unione Triestina,1935,6
Lazio Roma,1935,7
SSC Napoli,1935,8
AC Milan,1935,9
US Alessandria 1912,1935,10
ACF Fiorentina,1935,11
Sampierdarenese,1935,12
Genova 1893 Circolo del Calcio,1935,13
US Palermo,1935,14
AS Bari,1935,15
Brescia Calcio,1935,16
Bologna FC,1936,1
Lazio Roma,1936,2
Torino FC,1936,3
AC Milan,1936,4
Juventus,1936,5
Genova 1893 Circolo del Calcio,1936,6
Lucchese,1936,7
Inter,1936,8
ACF Fiorentina,1936,9
AS Roma,1936,10
AS Bari,1936,11
Unione Triestina,1936,12
SSC Napoli,1936,13
Novara Calcio,1936,14
Sampierdarenese,1936,15
US Alessandria 1912,1936,16
Inter,1937,1
Juventus,1937,2
Genova 1893 Circolo del Calcio,1937,3
Bologna FC,1937,4
AC Milan,1937,5
AS Roma,1937,6
Unione Triestina,1937,7
Torino FC,1937,8
Lazio Roma,1937,9
SSC Napoli,1937,10
AC Liguria,1937,11
US Livorno,1937,12
AS Bari,1937,13
Lucchese,1937,14
Atalanta,1937,15
ACF Fiorentina,1937,16
Bologna FC,1938,1
Torino FC,1938,2
Inter,1938,3
Genova 1893 Circolo del Calcio,1938,4
AS Roma,1938,5
AC Liguria,1938,6
SSC Napoli,1938,7
Lazio Roma,1938,8
AC Milan,1938,9
Juventus,1938,10
AS Bari,1938,11
Novara Calcio,1938,12
Modena FC,1938,13
US Livorno,1938,14
Unione Triestina,1938,15
Lucchese,1938,16
Inter,1939,1
Bologna FC,1939,2
Juventus,1939,3
Genova 1893 Circolo del Calcio,1939,4
Lazio Roma,1939,5
Torino FC,1939,6
AS Roma,1939,7
Novara Calcio,1939,8
