Team,Season,Place
FC Barcelona,1928,1
Real Madrid,1928,2
Athletic Bilbao,1928,3
Real Sociedad,1928,4
Arenas de Getxo,1928,5
Atletico Madrid,1928,6
Espanyol Barcelona,1928,7
CE Europa,1928,8
Real Union,1928,9
Racing Santander,1928,10
Athletic Bilbao,1929,1
FC Barcelona,1929,2
Arenas de Getxo,1929,3
Espanyol Barcelona,1929,4
Real Madrid,1929,5
Real Union,1929,6
Racing Santander,1929,7
Real Sociedad,1929,8
CE Europa,1929,9
Atletico Madrid,1929,10
Athletic Bilbao,1930,1
Racing Santander,1930,2
Real Sociedad,1930,3
FC Barcelona,1930,4
Arenas de Getxo,1930,5
Real Madrid,1930,6
Real Union,1930,7
Espanyol Barcelona,1930,8
CD Alaves,1930,9
CE Europa,1930,10
Real Madrid,1931,1
Athletic Bilbao,1931,2
FC Barcelona,1931,3
Racing Santander,1931,4
Arenas de Getxo,1931,5
Espanyol Barcelona,1931,6
Real Sociedad,1931,7
Valencia CF,1931,8
CD Alaves,1931,9
Real Union,1931,10
Real Madrid,1932,1
Athletic Bilbao,1932,2
Espanyol Barcelona,1932,3
FC Barcelona,1932,4
Real Betis,1932,5
Real Sociedad,1932,6
Racing Santander,1932,7
Arenas de Getxo,1932,8
Valencia CF,1932,9
CD Alaves,1932,10
Athletic Bilbao,1933,1
Real Madrid,1933,2
Racing Santander,1933,3
Real Betis,1933,4
Real Oviedo,1933,5
Real Sociedad,1933,6
FC Barcelona,1933,7
Valencia CF,1933,8
Espanyol Barcelona,1933,9
Arenas de Getxo,1933,10
Real Betis,1934,1
Real Madrid,1934,2
Real Oviedo,1934,3
Athletic Bilbao,1934,4
Sevilla FC,1934,5
FC Barcelona,1934,6
Atletico Madrid,1934,7
Espanyol Barcelona,1934,8
Valencia CF,1934,9
Racing Santander,1934,10
Real Sociedad,1934,11
Arenas de Getxo,1934,12
Athletic Bilbao,1935,1
Real Madrid,1935,2
Real Oviedo,1935,3
Racing Santander,1935,4
FC Barcelona,1935,5
Hercules CF,1935,6
Real Betis,1935,7
Valencia CF,1935,8
Espanyol Barcelona,1935,9
Sevilla FC,1935,10
CA Osasuna,1935,11
Atletico Madrid,1935,12
Atletico Madrid,1939,1
Sevilla FC,1939,2
Real Madrid,1939,3
Athletic Bilbao,1939,4
Espanyol Barcelona,1939,5
Hercules CF,1939,6
Valencia CF,1939,7
Celta Vigo,1939,8
Real Zaragoza,1939,9
FC Barcelona,1939,10
Real Betis,1939,11
Racing Santander,1939,12
Atletico Madrid,1940,1
Athletic Bilbao,1940,2
FC Barcelona,1940,3
Sevilla FC,1940,4
Valencia CF,1940,5
Real Madrid,1940,6
Espanyol Barcelona,1940,7
Real Oviedo,1940,8
Hercules CF,1940,9
Celta Vigo,1940,10
Real Zaragoza,1940,11
Real Murcia,1940,12
Valencia CF,1941,1
Real Madrid,1941,2
Atletico Madrid,1941,3
Deportivo La Coruna,1941,4
Celta Vigo,1941,5
Sevilla FC,1941,6
Athletic Bilbao,1941,7
CD Castellon,1941,8
Espanyol Barcelona,1941,9
Granada CF,1941,10
Real Oviedo,1941,11
FC Barcelona,1941,12
Hercules CF,1941,13
Real Sociedad,1941,14
Athletic Bilbao,1942,1
Sevilla FC,1942,2
FC Barcelona,1942,3
Celta Vigo,1942,4
CD Castellon,1942,5
Real Oviedo,1942,6
Atletico Madrid,1942,7
Valencia CF,1942,8
Real Madrid,1942,9
Deportivo La Coruna,1942,10
Espanyol Barcelona,1942,11
Granada CF,1942,12
Real Zaragoza,1942,13
Real Betis,1942,14
Valencia CF,1943,1
